Population size: 1000;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 50;;;
;;;
;;;
Deviation : 347,129782373583;;;
PopulationNumber;Best;Average;Worst
1;-142056,2035;-228091,3408;-305936,4102
2;-123677,7689;-197433,3098;-278735,9138
3;-111393,1887;-183950,55;-272721,1025
4;-107630,9684;-174326,6137;-264423,1143
5;-100819,0364;-166786,19;-262404,9102
6;-96959,98402;-157423,3096;-252287,7839
7;-91737,9773;-145640,8841;-246801,2689
8;-86657,00484;-132786,0142;-226186,384
9;-81573,13332;-123399,33;-218214,3478
10;-78966,49211;-116777,227;-215218,9099
11;-75970,25396;-113405,2481;-211973,5097
12;-73195,79749;-110402,0321;-200393,7777
13;-70555,11768;-107501,1438;-203280,038
14;-68699,2779;-104810,5091;-200575,7126
15;-66895,37388;-101735,8627;-197177,5263
16;-64852,96818;-99093,76978;-191269,6033
17;-62974,01128;-96034,58855;-185459,0512
18;-61301,27781;-94268,66692;-186820,4701
19;-59673,59158;-92736,04144;-179544,1898
20;-58933,85731;-90409,86889;-181694,0415
21;-57695,98944;-88635,89439;-174248,7591
22;-56895,0961;-86375,10033;-176898,487
23;-55352,3409;-84125,66712;-170969,0293
24;-54350,3344;-83101,8733;-165749,1912
25;-53763,27076;-81285,74037;-161711,4838
26;-53055,00022;-80540,87845;-162411,9979
27;-52406,35414;-78525,51748;-162997,5639
28;-51284,97222;-78300,72873;-156244,1071
29;-51024,42325;-77381,25541;-154159,8561
30;-50261,49563;-76670,65394;-155516,2867
31;-49837,21918;-76014,82519;-154826,6416
32;-49252,55306;-75155,37168;-159423,0066
33;-48880,46221;-73648,10513;-148442,6651
34;-48506,93253;-73453,76063;-147584,141
35;-48169,04922;-72860,25877;-153122,1272
36;-47881,47335;-71664,65067;-146099,5723
37;-47413,84812;-71618,6219;-143038,4498
38;-47159,43706;-71224,96117;-139973,0542
39;-46885,39364;-70359,96197;-138741,0765
40;-46676,29637;-70409,49104;-145683,1777
41;-46214,75821;-70083,85831;-143115,5881
42;-45811,63754;-69356,39476;-140030,6012
43;-45669,63576;-68688,43663;-135871,6767
44;-45568,74788;-68370,6443;-139096,299
45;-45175,27904;-68151,95199;-136741,2102
46;-45069,27362;-68018,9713;-137393,0511
47;-44649,97236;-67550,26157;-139380,8007
48;-44865,11719;-67046,2359;-136175,351
49;-44626,40812;-66484,60363;-133956,4089
50;-44599,67064;-67431,4488;-135935,4739
51;-44520,16429;-67401,0315;-140033,063
52;-44326,83815;-67565,61638;-138312,3951
53;-44248,05154;-66988,98444;-132874,8546
54;-44350,63317;-67448,65207;-139064,4934
55;-44044,73322;-66318,87061;-137235,3622
56;-43938,79661;-66042,02927;-136965,4177
57;-43637,60611;-65845,48682;-137255,8345
58;-43632,33091;-65667,7145;-136824,6682
59;-43518,80673;-65369,62647;-133571,9844
60;-43225,74707;-65367,21919;-132996,0586
61;-43152,98095;-64996,98179;-131629,448
62;-43075,99138;-65507,21307;-136913,3078
63;-42932,95275;-65186,65459;-132353,9224
64;-42657,37214;-64782,31541;-129058,6361
65;-42468,34196;-64359,43088;-131075,4855
66;-42268,19954;-63785,36625;-130828,8723
67;-42101,94186;-63971,0029;-133488,1353
68;-42066,25619;-63766,79144;-133825,8643
69;-41782,38907;-64164,69282;-130923,6722
70;-41885,62354;-63518,93425;-128570,6932
71;-41727,87242;-63528,59823;-131282,0548
72;-41494,53766;-64150,43544;-134786,7683
73;-41205,88006;-63918,13819;-130082,8056
74;-41160,86431;-63893,8063;-132105,8732
75;-41205,07753;-63974,62663;-133007,9955
76;-41192,82989;-63744,52432;-130464,1402
77;-41127,3427;-63812,51976;-134320,3461
78;-40942,30332;-63245,8755;-130730,1603
79;-40917,99445;-62811,90686;-127080,7947
80;-40951,88789;-62494,41673;-130092,0666
81;-40916,11015;-62584,5816;-130902,5661
82;-40638,37412;-62225,83081;-126539,5952
83;-40554,10946;-62243,38205;-130819,1593
84;-40455,27415;-61928,75018;-132208,038
85;-40396,59539;-61594,2381;-124760,4955
86;-40630,29867;-61985,64812;-129115,3855
87;-40394,58982;-62079,06896;-127676,3221
88;-40413,39666;-61588,81079;-125558,3171
89;-40339,56715;-61530,81344;-125628,3496
90;-40394,06599;-61780,47011;-126675,7577
91;-40305,30818;-61640,2256;-129611,1124
92;-40399,28391;-61562,78528;-126990,0114
93;-40253,0885;-61112,44955;-124726,5708
94;-40172,66147;-60949,94425;-133674,9721
95;-40079,31787;-61426,53437;-126304,1566
96;-40136,6858;-61528,63603;-127125,8718
97;-40188,8759;-60756,98186;-124577,5743
98;-40164,88679;-60960,57007;-124154,4112
99;-40051,73056;-60659,37773;-125307,1131
100;-39834,00821;-61065,79372;-125371,0948
