Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,1;;;
Mutation probability: 0,7;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 10049,3249302479;;;
PopulationNumber;Best;Average;Worst
1;-158770,0004;-229486,281;-289207,5474
2;-147873,5295;-208886,6515;-268461,6803
3;-142616,1925;-200080,4251;-264402,6612
4;-135501,2636;-195846,3454;-259715,2833
5;-135173,6096;-191247,1734;-257286,794
6;-130569,1864;-188798,1677;-251914,785
7;-129532,335;-186995,9162;-249713,77
8;-124103,049;-184412,3279;-250438,9904
9;-126310,5323;-180098,7776;-246004,9545
10;-123815,7309;-179042,2824;-246990,3754
11;-126765,2993;-178272,8725;-237739,2528
12;-125712,5269;-177792,4038;-241585,7301
13;-124164,4385;-176602,4716;-241815,9039
14;-120882,732;-176377,493;-241152,5886
15;-119970,0344;-175499,6999;-244390,1108
16;-121137,8317;-175905,2943;-239622,8765
17;-121098,62;-173915,1125;-241720,8592
18;-118948,8408;-173737,9377;-242323,456
19;-117824,2868;-174097,8062;-245851,6056
20;-121299,4423;-173437,6126;-239279,0837
21;-120769,5257;-173869,3415;-246983,1941
22;-120980,5444;-172642,3875;-237132,0286
23;-119997,3156;-170758,9662;-242279,0563
24;-116615,129;-170381,7568;-237017,0193
25;-116557,1801;-168043,7239;-230113,9926
26;-117163,6772;-168740,867;-238502,4865
27;-117018,6058;-167547,0746;-238872,2718
28;-112356,3429;-166230,2319;-236844,5271
29;-113890,9154;-165430,9964;-232670,4207
30;-112607,3816;-163718,6441;-237051,999
31;-110244,6762;-161325,3491;-234017,594
32;-111211,2738;-160228,0633;-227995,9039
33;-109451,1104;-158573,0608;-231235,4462
34;-112236,8266;-157181,5057;-232321,9087
35;-109962,5904;-155935,1708;-220438,196
36;-108085,0907;-155604,4998;-221219,2557
37;-107816,8181;-155299,8809;-222506,6032
38;-106774,0648;-152324,2657;-222976,9289
39;-103798,4443;-150415,02;-220406,037
40;-106640,8806;-151166,1892;-225532,3226
41;-103366,7667;-150933,661;-218706,8556
42;-104231,3464;-150670,6652;-222591,6894
43;-104024,5258;-150753,0499;-222981,2071
44;-105647,6702;-147883,0014;-219778,02
45;-105334,8743;-149765,6678;-216599,273
46;-104304,7257;-148085,5032;-218345,7164
47;-104703,8803;-147020,9386;-218316,4665
48;-104720,602;-145283,702;-216999,8805
49;-105501,924;-146442,7257;-220070,2874
50;-102811,5364;-144466,8847;-218248,7358
51;-103320,2374;-145578,6711;-224195,3897
52;-103467,6051;-145226,9336;-215337,0282
53;-103225,1628;-145995,3641;-212091,142
54;-102942,7564;-146369,8557;-218867,5348
55;-104340,5572;-145429,3209;-214332,2784
56;-101518,3742;-146345,8395;-216478,7519
57;-103219,2007;-145903,4964;-218126,3376
58;-104259,0341;-148099,9017;-221648,8537
59;-104865,7054;-147649,8368;-216088,6102
60;-101821,9587;-146040,532;-222768,2687
61;-98980,58896;-146028,0156;-221511,8253
62;-104016,5578;-143392,92;-213949,0395
63;-100737,8185;-143571,6053;-214616,7471
64;-100212,6218;-143841,0696;-223162,6614
65;-100849,5258;-141907,9531;-214491,4086
66;-102044,1427;-142633,0839;-215851,7896
67;-101977,2411;-142868,1448;-214993,7125
68;-102861,0801;-144263,2678;-207881,9168
69;-103235,3886;-141915,7099;-215621,5965
70;-98849,59585;-141477,7942;-206605,7418
71;-97958,30788;-142358,0795;-213355,8489
72;-98922,46536;-141791,6943;-213636,6487
73;-97693,21188;-137441,2704;-207462,0163
74;-99067,84416;-136358,9524;-205558,5293
75;-98405,52774;-136122,7719;-206336,694
76;-97368,67644;-136273,8031;-202137,7325
77;-96914,86679;-135117,0437;-204028,6775
78;-96568,78723;-134678,1213;-211130,2205
79;-94490,69365;-133963,3045;-209788,8922
80;-93933,7594;-134969,2079;-214640,1514
81;-94302,10819;-133530,1411;-207841,7248
82;-94287,86677;-133121,4605;-206052,6957
83;-93633,51019;-133912,9036;-206025,8852
84;-93305,39806;-133507,3762;-206501,5926
85;-92862,10682;-133519,7861;-210713,5295
86;-93016,5775;-132005,115;-209977,3904
87;-93095,33427;-129688,2972;-204145,3626
88;-91693,08467;-129738,975;-212730,7558
89;-93216,06093;-128863,8023;-206022,0191
90;-92092,4953;-126933,9878;-198974,2155
91;-92571,08862;-127484,6482;-199784,5613
92;-92244,74722;-127723,8831;-204721,8299
93;-90970,52935;-128214,2301;-199090,3774
94;-90284,84428;-128797,4708;-199154,1823
95;-89728,97836;-128144,3706;-203604,0457
96;-89728,75356;-128670,0816;-207829,6991
97;-90319,26266;-128407,0167;-208727,0869
98;-90804,35084;-126329,5479;-203569,9798
99;-90027,55177;-125180,6378;-212067,0031
100;-89661,6954;-125329,0736;-203739,9312
