Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 6931,1562395181;;;
PopulationNumber;Best;Average;Worst
1;-159149,878;-228266,4583;-292648,6646
2;-149513,7008;-207696,6073;-269630,264
3;-137596,8579;-201741,6356;-270582,9439
4;-135626,516;-195268,7205;-262157,2494
5;-126028,27;-189951,6467;-255399,9719
6;-128347,7933;-185895,5179;-254831,5112
7;-126998,8309;-182444,683;-250115,0761
8;-123371,49;-179241,6412;-253074,3115
9;-124440,034;-175217,1786;-238640,7281
10;-115572,7774;-168945,3963;-238768,6307
11;-114055,1465;-163641,5693;-234383,0008
12;-114108,4614;-156798,3808;-230992,4161
13;-111893,9389;-150577,5246;-213376,4832
14;-109710,4914;-145211,2991;-200758,7637
15;-107511,2459;-139137,8654;-198630,1388
16;-102907,5805;-132898,0516;-203624,1701
17;-101510,7644;-126085,6688;-186712,8168
18;-99835,564;-117956,0875;-172965,8203
19;-97951,1772;-111844,6274;-153141,7798
20;-95256,19593;-107453,1364;-138913,9183
21;-94362,68595;-103572,9984;-129501,2913
22;-93674,78982;-101246,5932;-128810,9909
23;-91173,40994;-98558,71562;-116072,2219
24;-90620,9724;-96912,78223;-116927,3195
25;-89918,64876;-95086,79518;-111170,045
26;-89653,72485;-94318,76888;-108946,7185
27;-89482,34744;-93749,63306;-107631,8325
28;-89373,64124;-93128,64472;-105653,3345
29;-89174,22746;-91674,28789;-100042,6654
30;-89287,40647;-91444,09389;-102161,9864
31;-89166,07041;-92004,41266;-103136,9196
32;-88907,46967;-91539,01983;-98371,96387
33;-88840,62233;-89667,13825;-99633,61446
34;-88874,65525;-89197,6642;-89954,75898
35;-88907,46967;-89180,83939;-90160,21102
36;-88896,815;-89093,75769;-90034,97012
37;-88840,62233;-89018,26189;-89898,57326
38;-88840,62233;-88974,22441;-89959,71874
39;-88840,62233;-88923,67701;-89928,53656
40;-88840,62233;-88925,95556;-89928,53656
41;-88840,62233;-88914,20806;-89646,72544
42;-88840,62233;-88924,88189;-89646,72544
43;-88840,62233;-88935,12773;-89928,53656
44;-88840,62233;-88903,57827;-89928,53656
45;-88840,62233;-88840,62233;-88840,62233
46;-88840,62233;-88840,62233;-88840,62233
47;-88840,62233;-88840,62233;-88840,62233
48;-88840,62233;-88840,62233;-88840,62233
49;-88840,62233;-88840,62233;-88840,62233
50;-88840,62233;-88840,62233;-88840,62233
51;-88840,62233;-88840,62233;-88840,62233
52;-88840,62233;-88840,62233;-88840,62233
53;-88840,62233;-88840,62233;-88840,62233
54;-88840,62233;-88840,62233;-88840,62233
55;-88840,62233;-88840,62233;-88840,62233
56;-88840,62233;-88840,62233;-88840,62233
57;-88840,62233;-88840,62233;-88840,62233
58;-88840,62233;-88840,62233;-88840,62233
59;-88840,62233;-88840,62233;-88840,62233
60;-88840,62233;-88840,62233;-88840,62233
61;-88840,62233;-88840,62233;-88840,62233
62;-88840,62233;-88840,62233;-88840,62233
63;-88840,62233;-88840,62233;-88840,62233
64;-88840,62233;-88840,62233;-88840,62233
65;-88840,62233;-88840,62233;-88840,62233
66;-88840,62233;-88840,62233;-88840,62233
67;-88840,62233;-88840,62233;-88840,62233
68;-88840,62233;-88840,62233;-88840,62233
69;-88840,62233;-88840,62233;-88840,62233
70;-88840,62233;-88840,62233;-88840,62233
71;-88840,62233;-88840,62233;-88840,62233
72;-88840,62233;-88840,62233;-88840,62233
73;-88840,62233;-88840,62233;-88840,62233
74;-88840,62233;-88840,62233;-88840,62233
75;-88840,62233;-88840,62233;-88840,62233
76;-88840,62233;-88840,62233;-88840,62233
77;-88840,62233;-88840,62233;-88840,62233
78;-88840,62233;-88840,62233;-88840,62233
79;-88840,62233;-88840,62233;-88840,62233
80;-88840,62233;-88840,62233;-88840,62233
81;-88840,62233;-88840,62233;-88840,62233
82;-88840,62233;-88840,62233;-88840,62233
83;-88840,62233;-88840,62233;-88840,62233
84;-88840,62233;-88840,62233;-88840,62233
85;-88840,62233;-88840,62233;-88840,62233
86;-88840,62233;-88840,62233;-88840,62233
87;-88840,62233;-88840,62233;-88840,62233
88;-88840,62233;-88840,62233;-88840,62233
89;-88840,62233;-88840,62233;-88840,62233
90;-88840,62233;-88840,62233;-88840,62233
91;-88840,62233;-88840,62233;-88840,62233
92;-88840,62233;-88840,62233;-88840,62233
93;-88840,62233;-88840,62233;-88840,62233
94;-88840,62233;-88840,62233;-88840,62233
95;-88840,62233;-88840,62233;-88840,62233
96;-88840,62233;-88840,62233;-88840,62233
97;-88840,62233;-88840,62233;-88840,62233
98;-88840,62233;-88840,62233;-88840,62233
99;-88840,62233;-88840,62233;-88840,62233
100;-88840,62233;-88840,62233;-88840,62233
