Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0;;;
Mutation probability: 0,7;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 4151,67051175033;;;
PopulationNumber;Best;Average;Worst
1;-162913,7761;-228194,0468;-285259,0084
2;-160262,1469;-206487,5054;-255294,1641
3;-173743,7832;-214461,3047;-248600,6701
4;-167556,732;-206804,1729;-251585,7801
5;-185985,8325;-218269,9919;-263475,2294
6;-196788,008;-221347,3086;-245675,7675
7;-201435,3186;-224816,4256;-240135,1122
8;-207896,1698;-218885,4353;-233975,2624
9;-211995,7152;-221322,0183;-230177,0854
10;-205144,235;-207464,1046;-215917,1669
11;-210648,296;-212750,9638;-213652,1071
12;-225496,9181;-226752,1383;-227027,6745
13;-211503,356;-212109,0951;-213056,5331
14;-218921,8485;-218921,8485;-218921,8485
15;-208220,2741;-208220,2741;-208220,2741
16;-226362,552;-226362,552;-226362,552
17;-209685,9032;-209685,9032;-209685,9032
18;-236083,3615;-236083,3615;-236083,3615
19;-214185,2734;-214185,2734;-214185,2734
20;-216519,4776;-216519,4776;-216519,4776
21;-208270,1437;-208270,1437;-208270,1437
22;-209059,1906;-209059,1906;-209059,1906
23;-215828,2061;-215828,2061;-215828,2061
24;-224045,9834;-224045,9834;-224045,9834
25;-218886,2354;-218886,2354;-218886,2354
26;-220222,5155;-220222,5155;-220222,5155
27;-234052,6268;-234052,6268;-234052,6268
28;-212459,3902;-212459,3902;-212459,3902
29;-221735,9569;-221735,9569;-221735,9569
30;-215701,5996;-215701,5996;-215701,5996
31;-233208,317;-233208,317;-233208,317
32;-214700,0218;-214700,0218;-214700,0218
33;-208421,5264;-208421,5264;-208421,5264
34;-226765,2856;-226765,2856;-226765,2856
35;-214229,4757;-214229,4757;-214229,4757
36;-225107,2502;-225107,2502;-225107,2502
37;-225540,4808;-225540,4808;-225540,4808
38;-217424,6374;-217424,6374;-217424,6374
39;-218015,964;-218015,964;-218015,964
40;-203923,8443;-203923,8443;-203923,8443
41;-229950,3995;-229950,3995;-229950,3995
42;-213099,5278;-213099,5278;-213099,5278
43;-223189,1829;-223189,1829;-223189,1829
44;-220663,7132;-220663,7132;-220663,7132
45;-221017,0855;-221017,0855;-221017,0855
46;-210634,195;-210634,195;-210634,195
47;-214839,7915;-214839,7915;-214839,7915
48;-208233,259;-208233,259;-208233,259
49;-214649,2201;-214649,2201;-214649,2201
50;-222273,4954;-222273,4954;-222273,4954
51;-211339,6369;-211339,6369;-211339,6369
52;-221600,999;-221600,999;-221600,999
53;-208111,3759;-208111,3759;-208111,3759
54;-214093,8919;-214093,8919;-214093,8919
55;-216896,6023;-216896,6023;-216896,6023
56;-221285,2341;-221285,2341;-221285,2341
57;-212570,981;-212570,981;-212570,981
58;-219302,9884;-219302,9884;-219302,9884
59;-218906,929;-218906,929;-218906,929
60;-215249,2352;-215249,2352;-215249,2352
61;-230307,4655;-230307,4655;-230307,4655
62;-223652,7773;-223652,7773;-223652,7773
63;-225125,0319;-225125,0319;-225125,0319
64;-212454,7962;-212454,7962;-212454,7962
65;-214874,7629;-214874,7629;-214874,7629
66;-206791,3416;-206791,3416;-206791,3416
67;-232875,1929;-232875,1929;-232875,1929
68;-236571,9812;-236571,9812;-236571,9812
69;-223784,1663;-223784,1663;-223784,1663
70;-214357,0325;-214357,0325;-214357,0325
71;-229940,8388;-229940,8388;-229940,8388
72;-215501,4997;-215501,4997;-215501,4997
73;-219341,4639;-219341,4639;-219341,4639
74;-218032,0147;-218032,0147;-218032,0147
75;-216944,5058;-216944,5058;-216944,5058
76;-211676,7129;-211676,7129;-211676,7129
77;-232010,6872;-232010,6872;-232010,6872
78;-218777,502;-218777,502;-218777,502
79;-223716,094;-223716,094;-223716,094
80;-212624,7239;-212624,7239;-212624,7239
81;-231391,6854;-231391,6854;-231391,6854
82;-221155,5684;-221155,5684;-221155,5684
83;-211881,5233;-211881,5233;-211881,5233
84;-234726,31;-234726,31;-234726,31
85;-223774,1672;-223774,1672;-223774,1672
86;-217433,8008;-217433,8008;-217433,8008
87;-227448,7688;-227448,7688;-227448,7688
88;-212518,962;-212518,962;-212518,962
89;-221468,9752;-221468,9752;-221468,9752
90;-218405,8218;-218405,8218;-218405,8218
91;-216398,6152;-216398,6152;-216398,6152
92;-225662,7597;-225662,7597;-225662,7597
93;-217715,6196;-217715,6196;-217715,6196
94;-213733,216;-213733,216;-213733,216
95;-212373,1188;-212373,1188;-212373,1188
96;-218231,4788;-218231,4788;-218231,4788
97;-216409,0833;-216409,0833;-216409,0833
98;-221154,1526;-221154,1526;-221154,1526
99;-207192,277;-207192,277;-207192,277
100;-212493,8436;-212493,8436;-212493,8436
