sep=;
Population size: 100
Generation amount: 100
Crossing probability: 0,7
Mutation probability: 0,1
Tournament parameter: 50


Deviation : 3080,10055257811
PopulationNumber;Best;Average;Worst
1;-165506,775230037;-229378,087510088;-294568,657792689
2;-139920,073657368;-194374,915625948;-261888,78413162
3;-132877,421244083;-176273,901815261;-244416,940965409
4;-124876,578447325;-163513,647770188;-231195,334752127
5;-117004,562167337;-150235,010461798;-227678,554981049
6;-109691,294533719;-142918,758754947;-218680,866150555
7;-105556,375528221;-132260,226373237;-205326,042233229
8;-101503,865394353;-128182,649000318;-195723,884290328
9;-98357,58960061;-125446,249595922;-193617,803793678
10;-94437,2594479441;-121574,619030211;-188483,561990445
11;-90959,1027889203;-117038,380325284;-184757,092054528
12;-88808,7221355219;-114856,44990698;-180297,305200174
13;-86676,9873801302;-111107,557151846;-174007,30617404
14;-84378,7750215066;-108313,015516678;-172216,318013416
15;-82150,7859099058;-105816,406355315;-162135,916672134
16;-80674,9096910254;-102734,773277071;-164757,217788744
17;-78970,7352169923;-102644,195219427;-164648,063709133
18;-77779,6441913137;-99907,2711843089;-157528,438494769
19;-77168,5608622899;-100224,844168906;-159414,94972103
20;-75804,8004283733;-98132,2928322347;-154287,587050382
21;-75492,1973611427;-97137,7709516204;-158055,788796677
22;-74349,9507495958;-96133,0716866175;-154493,42328606
23;-73699,0058390776;-94657,198425974;-151128,675855313
24;-72700,8416097274;-93126,1954966761;-149793,941892604
25;-70971,9038775502;-92543,2435816458;-150309,761619571
26;-70088,1988747889;-92008,380881075;-147087,720543981
27;-68714,4802139368;-91310,7879377296;-150509,32792984
28;-67817,6533256362;-91436,0375892056;-145149,791471124
29;-66920,3971804755;-87955,1110116245;-143087,344905219
30;-66108,7375484219;-87134,7555560568;-142633,412252635
31;-65169,4582720506;-87201,6489143315;-144311,380839406
32;-64499,4306267969;-84566,6538406741;-137586,003761965
33;-64097,2106089151;-84646,4982789233;-136595,62459256
34;-63330,1907161141;-83849,8181854669;-143372,568079453
35;-63051,1748525141;-83408,5732180283;-135427,415479481
36;-62180,3230891241;-82949,8311657832;-135998,904404466
37;-62033,5627461734;-81413,1964626497;-132599,058212629
38;-61064,8254628413;-80969,2130200154;-138809,897247192
39;-60674,3732674427;-81964,1721588432;-140267,688774667
40;-59823,8515285278;-81021,6074979578;-128899,831170001
41;-59660,6216369869;-78853,4569807369;-129660,387744305
42;-59366,2996264848;-79638,3167987511;-133816,886991427
43;-58887,7580542032;-79067,339452936;-129241,377063412
44;-58173,5443882027;-78271,6642780026;-129761,50786574
45;-58153,0318907499;-77499,5354450486;-127086,165329996
46;-58006,8626768997;-78588,8603898663;-133061,421980221
47;-57901,7685958961;-78398,8896913027;-133533,763908131
48;-57816,3369882803;-77210,9112474427;-132209,126801577
49;-57839,9262643792;-78451,9470362854;-132800,358377072
50;-57620,9826298317;-78292,1168215312;-129383,674917173
51;-57409,2674194645;-78150,4399492368;-129806,088134907
52;-57097,5526738007;-76072,8422958695;-128332,646035516
53;-56640,1976767991;-77762,6681588964;-126272,003470654
54;-56189,5861518972;-74996,8343766914;-129676,529382886
55;-55816,8437016798;-75200,1742428837;-129347,104963302
56;-55769,0311981077;-74821,475187451;-129480,798608395
57;-55189,4098565402;-75434,8314644979;-125965,076717723
58;-55282,6916475712;-73399,9367015769;-122001,62613395
59;-54508,0122410743;-74134,3754278971;-123393,723136918
60;-54334,3736506324;-73241,3794084872;-125296,836698672
61;-53536,7068823021;-73832,6000666521;-126033,563397614
62;-53141,8774730317;-73069,8962835501;-120850,08106604
63;-52924,5006720095;-74682,5027123603;-124370,926577424
64;-53202,2066653493;-71893,5741191381;-119264,944799379
65;-52826,3980802557;-73329,8859125168;-121245,169349857
66;-52714,5085593235;-72379,7333675795;-127070,125008067
67;-52772,3582579615;-72393,0017737102;-131804,253996161
