Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 6331,28634692422;;;
PopulationNumber;Best;Average;Worst
1;-164337,5048;-220912,7297;-274371,7743
2;-147559,4316;-196671,8596;-249777,4412
3;-141414,2027;-189023,6752;-243427,7913
4;-132112,8732;-181665,1145;-236985,369
5;-130264,372;-175963,4629;-229833,5552
6;-125641,615;-171286,7776;-231175,0166
7;-120876,0239;-165444,2627;-222469,3814
8;-119878,6193;-163711,5246;-209505,7148
9;-120169,9433;-161756,1739;-210220,5343
10;-115362,744;-159233,2704;-215157,7107
11;-114438,302;-155784,9094;-209741,0922
12;-111734,9309;-154385,5693;-209882,2318
13;-109892,7666;-153934,5413;-204812,1951
14;-108601,2149;-151852,2983;-202638,204
15;-113297,3971;-151287,3063;-205465,1625
16;-112536,1918;-150434,7438;-203356,7657
17;-112277,5269;-150024,9778;-203198,9659
18;-108521,9556;-147589,7604;-202692,0499
19;-109485,8223;-147814,106;-197215,585
20;-107313,2416;-146654,3024;-201319,5265
21;-105432,9801;-146608,3389;-197748,3259
22;-107672,9421;-146640,1445;-197869,1467
23;-105735,6657;-146438,8302;-197269,5284
24;-105076,5582;-147332,2343;-200919,1817
25;-104947,7463;-145411,9669;-194622,5359
26;-103033,4383;-144145,7029;-198240,3875
27;-104679,4444;-143953,3276;-195599,0652
28;-107129,7498;-144184,2036;-196354,4054
29;-105079,8175;-143646,9893;-194314,1372
30;-100633,8167;-143021,3374;-196071,4939
31;-103862,0362;-139962,7072;-190467,9112
32;-102420,8109;-139552,7774;-190308,285
33;-101816,6246;-138413,1926;-189320,5898
34;-103339,5404;-138865,1879;-187490,0838
35;-99416,70901;-139079,1357;-188531,1455
36;-103358,7704;-139895,4682;-191940,8845
37;-104023,9444;-139943,4097;-184816,6487
38;-101269,3072;-140767,2637;-189500,0538
39;-101505,0479;-140214,2415;-190852,9191
40;-100529,8623;-138851,3039;-188253,2049
41;-100695,7092;-138004,7102;-187725,1945
42;-102583,2691;-137595,6896;-185518,7764
43;-100782,4935;-139454,6377;-185727,0745
44;-101774,5914;-137778,9238;-188060,0111
45;-98760,44043;-137701,8544;-190674,7343
46;-100958,9218;-137006,1732;-184334,4759
47;-98455,99795;-135724,0977;-185455,9692
48;-97830,9604;-134555,2562;-185525,2171
49;-95495,89839;-133530,1253;-188554,0811
50;-95342,06984;-133608,2689;-182788,8753
51;-98129,18873;-135908,1361;-191925,5691
52;-99162,28313;-135317,0107;-187282,4471
53;-99093,42959;-136848,0307;-189840,0212
54;-100712,3074;-137983,7661;-185808,2613
55;-97940,57621;-138673,0265;-188300,5219
56;-98891,48057;-135939,0639;-185908,2948
57;-98823,83399;-135085,5134;-181412,8963
58;-99282,84286;-135493,1399;-185400,7788
59;-98449,88042;-136449,7566;-187181,4827
60;-97402,09253;-136692,6612;-183155,0893
61;-97805,1824;-136163,9235;-187292,2718
62;-97226,27472;-135696,1944;-186079,2575
63;-97157,89217;-134970,5926;-186974,3964
64;-99590,80468;-135734,273;-186725,3316
65;-99966,69612;-135210,8144;-183475,8024
66;-95897,699;-133482,8706;-183631,5676
67;-99281,30203;-134446,2032;-183680,8445
68;-99461,51744;-137444,0142;-188871,8237
69;-101625,9544;-139183,4464;-192764,5924
70;-100922,9234;-138718,7387;-190754,5157
71;-101820,6568;-139099,0206;-190246,5471
72;-102876,7054;-140407,8305;-187839,6544
73;-101149,8655;-141843,1619;-191691,1842
74;-102738,3044;-141143,6264;-197504,4783
75;-100942,3798;-140191,8355;-195238,5867
76;-99379,49781;-139790,7428;-190796,8614
77;-98398,50297;-140379,2878;-197791,8837
78;-101740,2195;-139548,626;-188166,7918
79;-99658,98678;-137822,4197;-193013,8396
80;-97785,61173;-137415,1971;-187680,0195
81;-100470,9465;-135823,8497;-183267,6437
82;-98755,00988;-137574,5613;-182565,6496
83;-100593,8528;-137346,8271;-183431,5139
84;-98544,97133;-135997,2702;-191524,9023
85;-96957,37885;-134706,8437;-188475,3917
86;-95993,79913;-133793,982;-181013,4084
87;-96527,89111;-131958,0483;-181840,1488
88;-96949,87548;-131953,4581;-181678,7955
89;-99064,06039;-132773,872;-180054,0787
90;-97430,91452;-134915,9371;-182489,1428
91;-96267,84509;-134944,2457;-187721,5256
92;-97769,09634;-134974,9721;-183519,1027
93;-94290,65415;-134495,8171;-183152,4811
94;-96209,04396;-133788,9572;-185060,8761
95;-96899,25207;-134197,0245;-190086,1274
96;-95727,67063;-133000,6875;-176187,042
97;-94466,53468;-131908,2779;-181422,4038
98;-94796,3986;-131804,0247;-182972,5773
99;-92755,11688;-131493,8889;-183634,7785
100;-94005,25527;-131870,1389;-183264,3887
