sep=;
Population size: 1000
Generation amount: 1000
Crossing probability: 0,7
Mutation probability: 0,1
Tournament parameter: 50


Deviation : 13515,0665436097
PopulationNumber;Best;Average;Worst
1;-1761744,20511341;-1904689,52476109;-2029955,3936303
2;-1695860,2196536;-1823584,8700699;-1940261,38927892
3;-1650501,91345944;-1768127,40588567;-1893974,52397212
4;-1626408,20518453;-1717364,26459035;-1830847,59835709
5;-1594572,43543594;-1679191,90833104;-1792426,58009873
6;-1565073,95998608;-1645160,51954252;-1749874,11908712
7;-1536184,16474707;-1614990,40785805;-1715491,351261
8;-1512161,32362485;-1581730,18331419;-1678025,3150605
9;-1491154,99099647;-1553599,15227834;-1633400,09387802
10;-1466266,60929472;-1529765,6854097;-1606948,38108287
11;-1448083,48634304;-1508098,7367412;-1577517,90028394
12;-1431870,62001984;-1488191,85990186;-1563204,67671574
13;-1409578,03306397;-1468273,83957999;-1537696,51199724
14;-1392788,2674797;-1448370,0838035;-1516039,61828332
15;-1376216,9705863;-1430713,99500487;-1500652,80613705
16;-1361015,87379362;-1412682,14593509;-1479525,87294029
17;-1344540,89730061;-1396625,16382328;-1460831,87563153
18;-1333741,72027979;-1381312,40229712;-1441839,26012441
19;-1318111,72997718;-1366088,38911003;-1429073,39349138
20;-1303227,82686086;-1350273,86675951;-1413748,10040023
21;-1290193,5645221;-1336459,19636208;-1396801,54139511
22;-1271751,59183599;-1324240,57413711;-1385551,77345266
23;-1262382,47918596;-1310112,70069888;-1374384,24986117
24;-1251008,10125871;-1296216,66488007;-1358738,05902563
25;-1240906,97753189;-1284106,20118477;-1342992,89302408
26;-1230510,44789246;-1272834,01034445;-1330476,30560609
27;-1221010,4553534;-1262703,57551379;-1318922,97992383
28;-1212449,88768121;-1252331,81073235;-1311802,29585348
29;-1202571,47980317;-1242039,4385571;-1296604,84852908
30;-1192977,58882335;-1232510,66821606;-1287977,26239097
31;-1184225,1689419;-1223283,50728775;-1279821,79292418
32;-1171752,7792663;-1214378,19801064;-1265654,16438985
33;-1164519,40845546;-1205344,17145747;-1259422,06512907
34;-1158839,69736819;-1195291,74270514;-1250095,71863867
35;-1149072,94520151;-1186909,8086404;-1238500,5939066
36;-1142434,02995544;-1178523,32614336;-1232027,85627692
37;-1134822,90764819;-1170102,48935783;-1221585,74548987
38;-1127068,18505736;-1162965,01320422;-1210882,5364209
39;-1120050,13914485;-1155721,4106695;-1206521,31886493
40;-1113115,74416546;-1147911,61711002;-1197504,71922665
41;-1104962,43581058;-1140254,90866951;-1191676,77663102
42;-1098915,97435218;-1135052,3154646;-1187783,86399943
43;-1093544,26900965;-1129895,2067503;-1179510,08859885
44;-1089794,92901268;-1125034,66829754;-1173906,37413125
45;-1083628,53395337;-1120149,88241029;-1174735,00181499
46;-1079012,18664166;-1115715,91159808;-1167587,59132592
47;-1071897,97618454;-1109374,81463761;-1162558,51244323
48;-1069294,49221279;-1102791,44514358;-1159189,27506101
49;-1063827,8816738;-1096996,19515619;-1147972,28313194
50;-1058821,25511745;-1091068,76777555;-1142250,37938287
51;-1053489,28245311;-1085810,98192488;-1135344,05464681
52;-1047214,22501656;-1081003,37702362;-1129920,43943096
53;-1042145,20333715;-1075203,4998087;-1121462,01117101
54;-1037391,30198318;-1069776,62069178;-1116944,11564252
55;-1031796,64311007;-1064846,34567498;-1111006,81091294
56;-1026634,37512871;-1060152,95569413;-1106823,02096961
57;-1022494,02142627;-1054746,41975547;-1103430,53195515
58;-1019117,34835822;-1050110,11012716;-1096744,32680178
59;-1011903,46780596;-1045283,10839738;-1090531,66817532
60;-1008445,54014687;-1040686,2412132;-1087462,5415581
61;-1005949,12039989;-1037969,25447808;-1087405,95968708
62;-1002418,40082044;-1034530,00787993;-1080196,74593678
63;-998019,413521262;-1029624,96882022;-1078238,55485825
64;-993708,517875836;-1025449,9923002;-1071755,42002639
65;-989700,237835143;-1021145,26892412;-1069730,43609059
66;-984017,030818446;-1017224,22710334;-1066003,33479757
67;-980586,982202112;-1011829,3034119;-1059206,09666128
68;-977565,907269909;-1006474,16496573;-1053363,08461375
69;-970384,760566378;-1002423,73643713;-1048879,73870971
70;-964822,255093973;-998123,458083395;-1045983,53912961
71;-962123,316391065;-993402,828352316;-1040466,3629091
72;-958615,220042413;-989537,915224613;-1042148,03388713
73;-953579,602219367;-986281,271897094;-1032994,34326435
74;-950374,750909094;-982077,395298312;-1031073,16303288
75;-946099,144322637;-979182,568936525;-1026617,00948548
76;-943200,836734093;-976147,992884479;-1027393,47144593
77;-939386,469249136;-971154,532097296;-1017365,73278504
78;-935890,591164289;-966671,485293269;-1013008,31657403
79;-933795,785537787;-964068,947465154;-1012834,14655489
80;-930525,352266739;-959959,648845397;-1008576,36810301
81;-926127,719947449;-956048,965355805;-1005162,005227
82;-923208,899491867;-952952,246020656;-997567,488235017
83;-918549,107890517;-949543,010096056;-996390,508550444
84;-914137,531704366;-945296,818563404;-992368,492420283
85;-910759,243115382;-941194,018352946;-990595,280718134
86;-906658,640585987;-938048,306746069;-984397,697358331
87;-904117,564973304;-934741,259666899;-977357,95031088
88;-901888,280368875;-931983,129456294;-976975,262679268
89;-899658,394935782;-929743,920188416;-976562,700747511
90;-896435,787399045;-927346,816828217;-974167,783642779
91;-894013,965836019;-923950,614083704;-972707,666217106
92;-891082,325590344;-921397,242429061;-967113,599885063
93;-888129,675686924;-918542,928627115;-966514,792272639
94;-884241,313255178;-915702,466100878;-964185,340071622
95;-880810,254512515;-912855,563351814;-959051,937472215
96;-877690,877094711;-909033,888220209;-957795,05973982
97;-875529,074051159;-905730,889745399;-951297,056516332
98;-873474,652233053;-901882,290525934;-947689,402116375
99;-871231,723294895;-898957,388607256;-946466,729012039
100;-868432,657077816;-896877,368357562;-941839,36483549
101;-866900,550587665;-894520,764563287;-938776,622571078
102;-863486,163399092;-892175,598382009;-938625,188127559
103;-860440,711317468;-890246,551548488;-936344,648977834
104;-857956,579953464;-888065,5092939;-934009,751038581
105;-855728,133410018;-884652,273953549;-928486,59494193
106;-851832,756784935;-881838,934765811;-928818,337297566
107;-849493,829495817;-879286,63720483;-925348,341008669
108;-847169,170673963;-876602,219633374;-924327,041572349
109;-843215,59454462;-873936,51986658;-918233,624615042
110;-840521,654730045;-871501,692903076;-919876,023486185
111;-838327,844726921;-868744,992292869;-915711,18727641
112;-836750,267181032;-865082,783648348;-910742,006889422
113;-833520,809425385;-863227,627988657;-911495,043263726
114;-832809,611780477;-861687,740571849;-910836,801430483
115;-829856,059800633;-859111,946925909;-906548,655277461
116;-826422,630729822;-856620,165549939;-903823,741836011
117;-824678,944364581;-854024,903975556;-901800,898543669
118;-822485,569644266;-851230,97599369;-900231,572833101
119;-820428,79105163;-848595,15645468;-893671,033131717
120;-818762,296521643;-846931,099974242;-893044,992360877
121;-816361,39148707;-844893,832182092;-892005,953173092
122;-812998,891150092;-842129,161940106;-887355,864897134
123;-810585,553110892;-838379,384442605;-883672,910133364
124;-808451,164499642;-835338,334460786;-881358,497067333
125;-806361,808467133;-833458,554824966;-876922,064458565
126;-804172,111311361;-830807,468356213;-874970,032034238
127;-800912,667102715;-828761,840699374;-874573,271617691
128;-799605,329511703;-826095,313429295;-870784,807934019
129;-797197,722307999;-823811,177168634;-867158,837672618
130;-796121,808786164;-822120,516729365;-867045,63031538
131;-793614,64080336;-820251,925500792;-864989,730087167
132;-790925,45099101;-818399,938563335;-863208,241871794
133;-789778,738060439;-816701,711435478;-860404,60529757
134;-787306,967478027;-814830,012025328;-857616,041287041
135;-784924,253674853;-812264,91198219;-856603,566406426
136;-783753,315101705;-810078,44490854;-850804,562277948
137;-781937,966058431;-808262,187826737;-850435,585674517
138;-780027,263098182;-807268,127642907;-853081,952257923
139;-777677,043280333;-806731,948731331;-850346,860668765
140;-775562,834780788;-805260,233766073;-849620,323478879
141;-776000,434076488;-803106,479839618;-850007,577422312
142;-773912,347913072;-801439,945029997;-847052,993181368
143;-772709,097582186;-799441,316978627;-846222,638829379
144;-771666,478231186;-798054,576973077;-842055,78683873
145;-769621,46910447;-796383,622883987;-841932,823816918
146;-768544,49156101;-794605,115582829;-839431,543942355
147;-766556,738023645;-793261,703395846;-834681,147109927
148;-765516,281162329;-791395,087573432;-835267,905586343
149;-763527,114168621;-789896,768847015;-832994,543776668
150;-761345,572948284;-788539,72611603;-833617,57022908
151;-759477,042840827;-787182,722030482;-830668,694830007
152;-758236,625554901;-785489,214619988;-829334,1572143
153;-756583,532542016;-784348,611819647;-830862,867765734
154;-755354,17389103;-782876,435481765;-827166,110129377
155;-754545,751066207;-781446,195185002;-830691,354105104
156;-752290,151070746;-778754,268246947;-824550,532966004
157;-750587,588377967;-777225,813400961;-818650,998920254
158;-748482,80828426;-775426,367600124;-819291,110281253
159;-747284,526416572;-774123,305977584;-818150,763332487
160;-745880,610206656;-773000,570145787;-816115,583268548
161;-745822,619956639;-771989,508543885;-814260,480076052
162;-744191,884941534;-770308,756435138;-815688,195136054
163;-741314,975678251;-769132,308965719;-816142,017545258
164;-740012,243556609;-767955,675063857;-811435,172168026
165;-737738,996198027;-766144,293641786;-810021,133049258
166;-736407,997881271;-763764,920850088;-808181,413625597
167;-735202,947395163;-762254,728838503;-809007,447967077
168;-733949,516810988;-760960,377862173;-805292,457780877
169;-732464,511535606;-760242,042688167;-803492,737899812
170;-731823,472131155;-758339,029172802;-802860,548833634
171;-730435,251388285;-757215,302775842;-800695,440702125
172;-729462,563258813;-755544,099330332;-800300,286461885
173;-727800,454096902;-753842,51546837;-795549,780081256
174;-726089,878372092;-752273,069873756;-794412,360685124
175;-724378,870561194;-750205,458468719;-795174,139888251
176;-722974,863413017;-749560,071044448;-792709,423763016
177;-721863,378013489;-748690,566956882;-791894,994031596
178;-719810,587804876;-747057,561314345;-789865,031731018
179;-718506,170256518;-746057,479461315;-789296,44723246
180;-716451,975063699;-743993,552203066;-788606,507424951
181;-715317,335546111;-742547,274409015;-785299,221248705
182;-714387,185452193;-741591,063668132;-783084,673541847
183;-713697,184368224;-739977,630693813;-785751,524267271
184;-712180,91541606;-738876,228934165;-781510,681264588
185;-710151,731638607;-737165,508253109;-785893,321064667
186;-708035,847950175;-735231,634557407;-779048,554205111
187;-708109,779384754;-733659,193000504;-776116,443037358
188;-706663,284534319;-732597,738094073;-776110,02938244
189;-705835,899462085;-730879,855507319;-772223,691639051
190;-705064,411544826;-729747,32115245;-768805,793238783
191;-703635,353612738;-729612,57608623;-773069,394148785
192;-702387,275669928;-728231,085351819;-773031,752516772
193;-700310,197796449;-727185,160763888;-767826,232091951
194;-699987,08951476;-725941,554115971;-768443,613481362
195;-698091,615335791;-724735,367139091;-766113,758791648
196;-697357,616390227;-723241,920459984;-763825,174787638
197;-696002,339363407;-721729,229795071;-763859,485350599
198;-695816,618859533;-720503,93230291;-763939,379256313
199;-694111,439173324;-719398,701411515;-761608,755405345
200;-693069,28815366;-718087,795798867;-759297,396868833
201;-692108,539609914;-716849,145425902;-756982,638200421
202;-690570,68501771;-716856,26530568;-758342,619283426
203;-689916,903444352;-716236,032829528;-758603,566820163
204;-690100,589246871;-714771,841810487;-758028,843625114
205;-688549,797491918;-714381,081560998;-758207,639187585
206;-688065,41851852;-713845,572233928;-754875,094755975
207;-688032,72561584;-713642,822972901;-756723,543027456
208;-686272,711126598;-713543,211473908;-756417,150090543
209;-684634,586818186;-712853,995682109;-755090,16767363
210;-683532,68921906;-710443,491198182;-758397,269543057
211;-683078,711990565;-709005,609274353;-751886,191570996
212;-681827,899932191;-708120,337801935;-750900,793216455
213;-681023,393552746;-707289,376205391;-750965,378624305
214;-679498,853521577;-705855,728732703;-749420,478848106
215;-679574,989076075;-704546,401277329;-750445,685000322
216;-678895,364743609;-703889,095003041;-749640,115302936
217;-677622,699775745;-703226,747214507;-746502,301863141
218;-676544,977863013;-702237,711004613;-746768,820325763
219;-675772,959477332;-701869,66609262;-747037,811802961
220;-674803,246304343;-700350,633047326;-742886,643432862
221;-673589,008487894;-699422,285095104;-744009,868178192
222;-672232,002323101;-698292,434244683;-741165,470934425
223;-671617,682392098;-697041,872221462;-739887,266506444
224;-670865,04456126;-695663,110596906;-739086,16634197
225;-668735,109455706;-693821,412453458;-737806,651512663
226;-668453,700945609;-692840,240301548;-733781,086193196
227;-667680,586584934;-692140,557130075;-733870,925731217
228;-666613,07267915;-691417,442299296;-735405,200592416
229;-666244,324295711;-690506,405255013;-730752,169631762
230;-665038,705999164;-690337,088095995;-729995,388647902
231;-663757,365836683;-689379,601179562;-733944,295230223
232;-662991,301617141;-687737,809334775;-732257,445127447
233;-661860,204337821;-687162,082058594;-729036,65083775
234;-661423,61894476;-686651,05909137;-728671,827894856
235;-660490,580907949;-685886,677199334;-728635,544006501
236;-658957,549916619;-685058,928275112;-731291,668000969
237;-658081,83262277;-684687,753450423;-730288,399929854
238;-658574,417921482;-684200,018838218;-728037,963361732
239;-655666,481361381;-682780,951680338;-730927,936550248
240;-655287,108700526;-681483,215177109;-726235,451038268
241;-653876,484147801;-680094,168280751;-722029,614822226
242;-653420,108260461;-678320,206664728;-720060,310155118
243;-652550,243117456;-677533,601083384;-718534,105425127
244;-650994,388021845;-676566,730680586;-719841,417975028
245;-649821,387642309;-675742,59373967;-716415,21764582
246;-650847,866741524;-675095,54779942;-716814,887488595
247;-649084,539922002;-674832,06411714;-718998,150465322
248;-649100,30309392;-674302,135255162;-715963,554773326
249;-649005,216274323;-673705,97187244;-717226,446262346
250;-648066,350700748;-673745,391200341;-715612,505268592
251;-646932,103821778;-673616,633220551;-720029,610676769
252;-645856,981075247;-672986,360019799;-716838,375748061
253;-646200,722336731;-671931,266377516;-713348,021640097
254;-645291,807370663;-671326,477418264;-717281,018244587
255;-644316,710638107;-669832,535413043;-714268,032210442
256;-643016,832575664;-668727,596843347;-710178,048215547
257;-642431,886847765;-667713,923742886;-709865,188687182
258;-641138,20401648;-666342,104749217;-710333,63547027
259;-640409,21763689;-665557,994923308;-709197,42291288
260;-639695,256631892;-664912,377251093;-704815,64518926
261;-639420,159708018;-663565,0833641;-706102,621116497
262;-638742,801863631;-662236,902025626;-705706,428833194
263;-638573,265577174;-661082,484918774;-704839,151140472
264;-637531,909684498;-660355,870591034;-703807,284495469
265;-636631,504132987;-659471,597533165;-701434,002619431
266;-634889,409645758;-658958,331813937;-699495,008831027
267;-633407,651274667;-658405,720626818;-701766,32804515
268;-632700,840387904;-657206,712881996;-695981,183078374
269;-632056,087707981;-656684,76340609;-697072,455891394
270;-631391,165905187;-656194,952383695;-697954,211915283
271;-631277,539186077;-655901,369231283;-698783,760396972
272;-629379,379793677;-654421,917930717;-700470,990110489
273;-629268,113526912;-653183,945972596;-694860,86221452
274;-629262,504278797;-652575,900283295;-693636,510990442
275;-628351,209596114;-652367,906287272;-694138,279984297
