Population size: 10;;;
Generation amount: 1000;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 2;;;
;;;
;;;
Deviation : 1580231,1789883;;;
PopulationNumber;Best;Average;Worst
1;-1831709,222;-1902452,719;-1968940,315
2;-1824770,138;-1876713,795;-1944541,697
3;-1815622,485;-1859799,415;-1907829,133
4;-1816683,164;-1855986,567;-1902054,354
5;-1817506,072;-1849620,45;-1877864,884
6;-1804904,426;-1844927,859;-1876602,871
7;-1804135,736;-1838855,352;-1869798,052
8;-1807361,58;-1838525,747;-1866017,312
9;-1803098,862;-1828843,195;-1858230,256
10;-1793005,891;-1823328,425;-1856204,512
11;-1787697,393;-1815374,178;-1840464,356
12;-1780236,463;-1805597,396;-1831496,241
13;-1779715,741;-1802273,919;-1828390,621
14;-1774879,277;-1795623,01;-1821702,227
15;-1772338,434;-1791050,665;-1814562,368
16;-1769517,007;-1787314,302;-1813723,673
17;-1764561,633;-1781940,43;-1802356,414
18;-1757373,381;-1776649,612;-1794761,465
19;-1754472,257;-1772391,874;-1792265,591
20;-1749177,656;-1768858,179;-1790403,244
21;-1746002,505;-1765205,906;-1783903,294
22;-1746464,61;-1765608,257;-1785316,831
23;-1747096,748;-1764473,806;-1784883,281
24;-1744137,742;-1761066,519;-1781373,287
25;-1740637,599;-1759585,684;-1778153,697
26;-1736143,828;-1756515,303;-1780888,65
27;-1735417,036;-1752274,067;-1770113,28
28;-1730022,791;-1749394,999;-1766562,523
29;-1729178,619;-1749837,417;-1770502,573
30;-1729845,697;-1747858,519;-1766013,869
31;-1727149,515;-1745586,404;-1765132,739
32;-1726821,225;-1744246,073;-1759206,682
33;-1724947,417;-1743094,384;-1758926,12
34;-1724353,858;-1742144,485;-1762306,085
35;-1718787,134;-1738825,511;-1760298,745
36;-1712984,566;-1735504,42;-1758213,958
37;-1714982,838;-1733553,432;-1750325,588
38;-1714197,869;-1732429,074;-1753723,758
39;-1712594,959;-1729911,37;-1749144,191
40;-1707804,403;-1726024,883;-1747951,728
41;-1708957,755;-1726159,076;-1742448,281
42;-1705137,816;-1723291,477;-1746008,914
43;-1700242,04;-1718841,606;-1740888,601
44;-1693897,045;-1714097,709;-1736881,773
45;-1689918,001;-1709541,56;-1727787,748
46;-1686962,849;-1705710,197;-1727555,141
47;-1683756,98;-1702011,168;-1722864,352
48;-1682598,539;-1700506,387;-1717156,088
49;-1683425,501;-1700693,701;-1717278,19
50;-1680971,466;-1701070,76;-1723615,543
51;-1682820,755;-1699648,132;-1717960,727
52;-1682720,338;-1698023,994;-1715569,446
53;-1678654,875;-1696131,327;-1714757,46
54;-1681512,878;-1699642,451;-1717199,228
55;-1678117,468;-1697872,669;-1715019,723
56;-1677370,397;-1694624,103;-1711228,305
57;-1674849,102;-1695896,498;-1717331,309
58;-1677153,329;-1696033,688;-1715245,093
59;-1673509,984;-1694505,663;-1717400,635
60;-1672868,892;-1690932,438;-1715793,234
61;-1665317,085;-1688099,134;-1709389,029
62;-1666501,87;-1685955,306;-1709087,351
63;-1663524,563;-1680769,33;-1701278,557
64;-1658207,58;-1677441,03;-1695822,132
65;-1657183,048;-1678219,952;-1695466,004
66;-1659335,318;-1677886,412;-1701588,287
67;-1658449,685;-1674177,801;-1694790,262
68;-1652188,802;-1671040,905;-1693847,937
69;-1649819,427;-1665729,775;-1686866,196
