Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 21744,4566097541;;;
PopulationNumber;Best;Average;Worst
1;-1798674,378;-1905541,814;-2010838,604
2;-1754438,063;-1858641,979;-1952092,414
3;-1751312,194;-1835681,042;-1923621,68
4;-1731682,073;-1815225,44;-1899806,038
5;-1713599,369;-1792404,524;-1877326,483
6;-1693177,145;-1775424,686;-1861592,344
7;-1679359,451;-1759212,597;-1849010,66
8;-1674114,408;-1743532,224;-1820878,083
9;-1652870,293;-1727754,581;-1805876,768
10;-1641602,885;-1712855,479;-1799120,985
11;-1629599,537;-1699340,234;-1774791,884
12;-1613841,759;-1685547,375;-1757333,717
13;-1610722,822;-1675179,855;-1748246,394
14;-1605193,606;-1663613,579;-1737657,341
15;-1591555,471;-1652338,937;-1726361,198
16;-1583759,981;-1639670,018;-1711121,54
17;-1577253,221;-1629268,742;-1701110,266
18;-1568474,797;-1619694,226;-1677441,101
19;-1560332,957;-1613118,292;-1675727,733
20;-1555995,868;-1607346,412;-1666924,397
21;-1544177,136;-1599678,823;-1662777,541
22;-1539338,693;-1591694,106;-1651605,465
23;-1532122,368;-1583122,048;-1645588,152
24;-1523856,467;-1575287,494;-1635032,539
25;-1519034,99;-1567464,335;-1626803,631
26;-1514252,992;-1560821,286;-1610204,495
27;-1507377,065;-1555714,07;-1613396,609
28;-1497653,298;-1547560,809;-1601664,805
29;-1491346,819;-1541806,638;-1599665,098
30;-1488863,673;-1536291,073;-1593439
31;-1480078,428;-1532327,413;-1587921,447
32;-1475840,053;-1525829,062;-1585072,669
33;-1470973,382;-1519259,335;-1579078,976
34;-1461862,249;-1512435,156;-1569880,725
35;-1453524,679;-1506026,38;-1568129,525
36;-1449622,445;-1496938,013;-1553688,169
37;-1439800,589;-1487208,68;-1542659,433
38;-1433918,49;-1479256,58;-1525954,609
39;-1436415,988;-1475102,252;-1524532,018
40;-1426029,074;-1470983,683;-1524131,944
41;-1429671,654;-1467779,344;-1518206,718
42;-1423243,234;-1464445,315;-1511863,355
43;-1414637,248;-1461254,082;-1511987,51
44;-1410124,746;-1458210,771;-1506362,81
45;-1408190,569;-1453948,034;-1504898,952
46;-1405465,107;-1450516,763;-1507997,346
47;-1402036,421;-1446975,261;-1499534,229
48;-1400864,66;-1443670,093;-1497672,123
49;-1401554,33;-1443449,889;-1493901,707
50;-1400993,902;-1441972,347;-1491543,735
51;-1399909,712;-1442332,463;-1490638,209
52;-1394742,734;-1442561,237;-1497347,368
53;-1393199,115;-1439365,788;-1487447,119
54;-1394177,352;-1436556,237;-1489955,552
55;-1389952,594;-1435429,382;-1488698,667
56;-1388708,011;-1434727,624;-1487500,268
57;-1388801,982;-1433520,474;-1482864,674
58;-1381252,757;-1430513,513;-1481514,252
59;-1383271,053;-1428203,235;-1482709,952
60;-1377798,874;-1424344,878;-1480219,946
61;-1376246,869;-1420113,289;-1475688,399
62;-1374572,278;-1415925,042;-1470892,127
63;-1369649,324;-1413891,17;-1465969,63
64;-1367780,154;-1409188,045;-1456154,432
65;-1361213,25;-1405584,085;-1455125,991
66;-1362225,842;-1402218,725;-1450641,237
67;-1358520,368;-1400736,12;-1453436,374
68;-1360367,427;-1399228,167;-1445887,606
69;-1358465,432;-1398238,933;-1449237,551
70;-1355451,5;-1396845,464;-1446104,876
71;-1358067,208;-1395610,619;-1446565,97
72;-1354292,031;-1394620,273;-1439497,652
73;-1349822,244;-1391978,383;-1439832,587
74;-1349498,357;-1389552,634;-1438028,727
75;-1345463,613;-1387350,156;-1437014,568
76;-1343148,726;-1384510,673;-1435721,943
77;-1344345,479;-1383058,594;-1438280,764
78;-1340605,524;-1380444,521;-1428116,807
79;-1338549,089;-1377537,551;-1424294,192
80;-1338812,347;-1376917,355;-1422615,104
81;-1335538,49;-1375484,942;-1426533,727
82;-1333307,981;-1376156,628;-1426936,235
83;-1329292,402;-1375061,138;-1423296,983
84;-1330607,876;-1372976,601;-1427824,65
85;-1329838,876;-1370011,49;-1420923,514
86;-1325256,554;-1365931,562;-1415219,121
87;-1323908,281;-1363615,725;-1409208,921
88;-1319934,796;-1361025,447;-1406794,45
89;-1318562,105;-1359268,569;-1407500,834
90;-1316550,164;-1357866,073;-1406864,566
91;-1316445,359;-1356603,067;-1405178,89
92;-1316385,929;-1353620,413;-1398030,643
93;-1311220,127;-1353487,259;-1399183,345
94;-1313454,125;-1352978,578;-1403159,504
95;-1311086,03;-1353116,568;-1398536,068
96;-1309034,937;-1351800,934;-1399216,955
97;-1308869,592;-1350738,175;-1406915,686
98;-1306227,575;-1349989,404;-1397524,791
99;-1305876,439;-1350749,221;-1400062,159
100;-1306409,293;-1349902,831;-1403518,347
