Population size: 1000;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 2;;;
;;;
;;;
Deviation : 600,240072469181;;;
PopulationNumber;Best;Average;Worst
1;-1764299,424;-1904171,906;-2032693,326
2;-1746654,26;-1877517,412;-1996968,094
3;-1730303,355;-1865243,667;-1988764,814
4;-1730283,728;-1855122,989;-1978703,325
5;-1714051,996;-1847179,319;-1964672,525
6;-1718321,035;-1839602,987;-1956253,709
7;-1715797,942;-1833466,347;-1955744,79
8;-1703295,43;-1825903,002;-1951769,624
9;-1694239,8;-1819314,54;-1945166,973
10;-1693464,56;-1813259,701;-1931379,538
11;-1680185,111;-1809007,403;-1932329,314
12;-1686985,331;-1804900,416;-1929692,167
13;-1680011,617;-1801130,825;-1932253,284
14;-1680488,716;-1797179,063;-1921964,782
15;-1669330,714;-1793055,325;-1915929,312
16;-1664929,468;-1790044,179;-1920021,198
17;-1662390,59;-1787247,071;-1912151,514
18;-1659569,638;-1784518,399;-1908130,388
19;-1650865,597;-1781850,473;-1901884,895
20;-1652409,129;-1779286,274;-1902302,541
21;-1647832,062;-1776248,283;-1906803,334
22;-1644159,405;-1774409,349;-1905662,603
23;-1651174,101;-1771459,691;-1904137,096
24;-1648412,669;-1768583,081;-1895904,624
25;-1650355,74;-1767175,093;-1891286,643
26;-1635686,019;-1764241,458;-1893721,286
27;-1634776,025;-1762699,903;-1890922,455
28;-1636451,019;-1759500,819;-1881728,446
29;-1638452,665;-1757644,49;-1885793,321
30;-1631744,215;-1756032,807;-1880878,434
31;-1629104,644;-1754996,072;-1881955,363
32;-1631915,212;-1753232,692;-1885956,181
33;-1624376,121;-1752128,431;-1881337,037
34;-1621412,222;-1750290,902;-1877153,234
35;-1620939,832;-1748076,154;-1875459,751
36;-1623141,235;-1747702,659;-1866792,677
37;-1622669,447;-1746168,368;-1879997,15
38;-1618550,623;-1745006,858;-1868519,897
39;-1615929,413;-1743908,737;-1877008,253
40;-1616803,39;-1742526,688;-1867394,133
41;-1619468,169;-1742472,984;-1869187,875
42;-1609732,751;-1740970,978;-1869564,8
43;-1611828,137;-1739860,299;-1864234,601
44;-1617830,05;-1738622,156;-1870507,816
45;-1610031,527;-1738408,569;-1879259,794
46;-1606235,527;-1737746,763;-1865246,636
47;-1605517,813;-1736701,177;-1869354,036
48;-1597174,133;-1735398,353;-1868620,724
49;-1606327,024;-1732718,614;-1857398,574
50;-1605540,252;-1730964,406;-1855046,908
51;-1610668,839;-1731090,137;-1857524,638
52;-1602842,736;-1729571,404;-1868393,736
53;-1603484,522;-1728322,06;-1862901,497
54;-1610255,537;-1727302,15;-1861416,638
55;-1597937,454;-1725767,703;-1855691,205
56;-1602941,441;-1724888,596;-1847464,403
57;-1603753,567;-1724853,847;-1850537,884
58;-1599650,687;-1724843,029;-1849534,982
59;-1604130,996;-1725382,992;-1851835,201
60;-1601410,206;-1725101,756;-1850901,531
61;-1597943,701;-1724420,911;-1850872,86
62;-1591645,073;-1723431,709;-1849457,921
63;-1602946,115;-1721917,724;-1849627,129
64;-1601053,524;-1720407,487;-1853979,478
65;-1600622,215;-1719876,435;-1843225,479
66;-1594541,537;-1719881,724;-1845394,055
67;-1595848,697;-1720582,927;-1850357,412
68;-1594324,371;-1720008,582;-1847287,805
69;-1597504,624;-1720128,486;-1853138,124
70;-1592452,162;-1720261,472;-1846876,844
71;-1594996,412;-1720162,939;-1853729,021
72;-1597025,972;-1719550,44;-1845405,673
73;-1592154,659;-1718725,582;-1851574,968
74;-1594095,313;-1717276,656;-1844442,927
75;-1591761,124;-1717016,339;-1847350,698
76;-1589240,685;-1717165,258;-1842450,874
77;-1592436,978;-1717023,978;-1843384,137
78;-1588204,011;-1716146,987;-1852776,421
79;-1591454,451;-1715487,674;-1846204,92
80;-1582746,021;-1715063,75;-1840188,588
81;-1595485,789;-1714556,542;-1837709,903
82;-1586166,848;-1714356,435;-1843218,769
83;-1593955,559;-1713191,02;-1843204,849
84;-1589139,394;-1712455,315;-1845915,105
85;-1579466,905;-1712366,498;-1840742,501
86;-1584832,69;-1711739,922;-1843715,697
87;-1587580,474;-1710875,567;-1841025,539
88;-1582421,355;-1711619,368;-1837279,936
89;-1586766,68;-1710684,911;-1840805,595
90;-1586385,332;-1710829,909;-1837653,747
91;-1583949,935;-1710096,247;-1838830,928
92;-1578749,066;-1709754,293;-1843793,6
93;-1581649,452;-1708922,168;-1836964,634
94;-1583664,623;-1708825,374;-1837076,178
95;-1574914,288;-1707830,708;-1835448,297
96;-1584272,771;-1707781,206;-1837644,286
97;-1579382,862;-1707271,528;-1832565,488
98;-1574876,29;-1706546,366;-1841978,29
99;-1570952,742;-1705043,452;-1838216,816
100;-1578830,699;-1704581,804;-1839873,33
