Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,5;;;
Mutation probability: 0,5;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 19738,3720978419;;;
PopulationNumber;Best;Average;Worst
1;-1801850,741;-1903898,111;-2010907,85
2;-1757380,763;-1860098,82;-1956483,751
3;-1745823,786;-1834114,681;-1918076,404
4;-1732788,463;-1814398,523;-1902722,103
5;-1720386,322;-1797453,16;-1889042,829
6;-1700720,105;-1778873,194;-1858886,587
7;-1690316,566;-1764320,564;-1853773,422
8;-1682407,194;-1747965,195;-1822427,495
9;-1661335,37;-1733307,587;-1809327,861
10;-1656082,426;-1718915,613;-1790834,367
11;-1645827,915;-1708695,577;-1778666,385
12;-1632574,242;-1698525,072;-1767099,877
13;-1621698,423;-1687308,537;-1755028,227
14;-1615193,975;-1677753,163;-1748082,934
15;-1610431,953;-1669542,494;-1739948,336
16;-1603994,732;-1662359,057;-1729572,796
17;-1600478,893;-1656113,268;-1718384,544
18;-1588113,351;-1648178,572;-1710843,635
19;-1581490,87;-1639230,848;-1703445,857
20;-1567562,215;-1629508,328;-1695372,869
21;-1560614,481;-1622180,225;-1687753,135
22;-1556990,738;-1614685,351;-1677922,172
23;-1550128,24;-1605338,749;-1668555,717
24;-1540471,277;-1597530,879;-1662214,577
25;-1533749,278;-1588801,218;-1655210,005
26;-1525556,947;-1580369,892;-1641087,674
27;-1520271,797;-1573487,578;-1629561,368
28;-1515880,494;-1567584,32;-1625113,901
29;-1512073,549;-1564615,222;-1625864,632
30;-1512290,414;-1562339,973;-1620475,524
31;-1511596,679;-1561411,628;-1619896,76
32;-1508129,285;-1558986,383;-1615780,332
33;-1498769,519;-1555512,02;-1612231,066
34;-1497044,547;-1549777,81;-1611971,786
35;-1492113,689;-1544611,776;-1609201,594
36;-1485535,421;-1538452,048;-1593468,042
37;-1483408,811;-1531454,732;-1595408,773
38;-1474034,064;-1523918,223;-1581417,562
39;-1469486,444;-1518665,118;-1573433,672
40;-1465702,277;-1512609,035;-1567583,084
41;-1459567,334;-1507996,398;-1561097,238
42;-1454055,302;-1504541,508;-1558590,531
43;-1455996,977;-1500928,805;-1554869,182
44;-1447860,792;-1497503,48;-1552282,62
45;-1443009,741;-1490824,98;-1545560,46
46;-1439943,553;-1485470,846;-1534039,239
47;-1434919,947;-1481253,576;-1533724,718
48;-1435853,273;-1475207,337;-1527944,691
49;-1430831,643;-1470636,63;-1520777,307
50;-1427508,443;-1468517,392;-1514094,598
51;-1424997,444;-1465659,315;-1514842,89
52;-1420264,174;-1464268,127;-1509927,592
53;-1414591,379;-1461763,997;-1514297,653
54;-1413023,313;-1458157,363;-1506397,148
55;-1409469,388;-1453000,982;-1499730,607
56;-1405648,509;-1450805,136;-1501330,806
57;-1405384,25;-1447247,275;-1498147,051
58;-1403924,415;-1444705,005;-1495849,812
59;-1394917,993;-1441988,618;-1492912,73
60;-1392268,872;-1438461,569;-1490147,106
61;-1391975,85;-1436243,378;-1485597,466
62;-1391059,918;-1433703,868;-1481191,218
63;-1388394,399;-1431066,792;-1478772,536
64;-1389193,121;-1428306,691;-1475086,238
65;-1386279,27;-1428360,708;-1477164,537
66;-1383603,409;-1427111,771;-1473745,272
67;-1385386,005;-1426127,58;-1477807,689
68;-1383525,558;-1423920,986;-1472137,45
69;-1381706,932;-1422199,852;-1472463,93
70;-1375511,871;-1419014,263;-1471707,574
71;-1372475,754;-1414183,87;-1464345,369
72;-1373383,154;-1411013,457;-1457318,48
73;-1368324,002;-1408825,729;-1461222,564
74;-1363192,306;-1406617,664;-1453492,332
75;-1358540,417;-1404853,223;-1452897,455
76;-1358144,456;-1403361,529;-1454872,533
77;-1352416,53;-1399052,434;-1454313
78;-1347072,446;-1394668,938;-1446201,761
79;-1347019,91;-1389552,434;-1438399,679
80;-1345157,146;-1386129,588;-1433285,294
81;-1344258,585;-1382631,169;-1429851,296
82;-1341842,829;-1380608,088;-1431775,824
83;-1339644,416;-1380966,12;-1424773,811
84;-1338106,722;-1379877,92;-1432149,186
85;-1337587,322;-1378795,864;-1424581,808
86;-1337022,445;-1376049,931;-1424160,45
87;-1336136,953;-1375203,178;-1423007,482
88;-1334747,962;-1374059,007;-1420958,42
89;-1331654,659;-1372336,993;-1421724,055
90;-1331026,829;-1371369,11;-1417478,215
91;-1327058,519;-1368550,826;-1415148,307
92;-1324529,424;-1367025,068;-1411194,971
93;-1324486,368;-1366550,585;-1418522,251
94;-1325627,874;-1365560,745;-1415491,376
95;-1319888,384;-1362820,821;-1410836,087
96;-1321336,091;-1360966,026;-1407363,4
97;-1320164,462;-1360062,668;-1405800,297
98;-1319958,077;-1358774,082;-1406987,016
99;-1316258,586;-1358402,699;-1407070,177
100;-1316254,889;-1355861,232;-1403915,566
