Population size: 10;;;
Generation amount: 1000;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 2;;;
;;;
;;;
Deviation : 27849,8428400252;;;
PopulationNumber;Best;Average;Worst
1;-4737,179325;-8499,51678;-11905,77063
2;-3387,436389;-6578,457022;-9560,422883
3;-2985,29222;-6112,346834;-9159,368025
4;-2314,586019;-5516,071202;-8854,785065
5;-2419,73956;-4745,362443;-7374,152712
6;-2147,758814;-4233,132392;-6406,203059
7;-2070,159162;-4270,186725;-6527,490003
8;-2126,799906;-4363,195171;-6765,316476
9;-2206,152986;-4156,031777;-6437,610989
10;-1519,898313;-4001,709766;-6235,059397
11;-1685,887785;-3732,348886;-6245,889517
12;-1044,594077;-3220,409808;-5581,824977
13;-1035,262385;-3076,914369;-5345,170807
14;-577,2488683;-2559,809194;-4844,242841
15;-323,5922328;-2231,859669;-4648,103408
16;-105,6126581;-2424,272128;-4795,027067
17;-264,1851638;-2411,090162;-5178,841838
18;263,0207071;-2179,100205;-4990,890415
19;170,9736266;-2018,210848;-4727,916843
20;355,2416412;-1871,069464;-4050,680419
21;405,1565355;-2033,126396;-4552,339515
22;743,1027699;-2032,061727;-4703,576217
23;-36,68130579;-2223,811931;-4604,37873
24;-79,3146402;-2115,905742;-4307,742468
25;80,15013742;-2008,233747;-4302,636148
26;319,0244532;-1794,148441;-4283,690925
27;680,1304892;-1640,366204;-4351,073193
28;1290,576914;-1353,660289;-3755,669437
29;1034,94212;-1245,568696;-4248,441323
30;811,8746455;-1598,919103;-4440,946859
31;624,2371326;-1450,720204;-4241,417845
32;385,3868247;-1962,808426;-4916,595369
33;557,1907374;-2020,909631;-5155,457041
34;672,3387735;-1739,344447;-4420,778455
35;683,5137168;-1893,078089;-4859,268937
36;1309,320465;-1707,146552;-5187,869791
37;725,073242;-1757,3605;-4240,548195
38;277,5015583;-1852,773345;-4457,901707
39;245,8544818;-2069,569513;-4566,72
40;659,0209223;-1874,060118;-4919,85863
41;458,0441358;-1771,05625;-4906,179859
42;410,1071399;-1809,571674;-4730,81507
43;463,3130628;-1770,359049;-4911,457275
44;683,6244598;-1466,727736;-4519,831479
45;703,8944401;-1529,314134;-4490,063554
46;1167,430105;-1174,389195;-3861,171059
47;1147,381131;-1132,911123;-3630,787448
48;1222,914968;-1412,022022;-4148,910075
49;876,3408882;-1858,279623;-4560,827439
50;128,2578663;-2138,372418;-4995,23724
51;349,9365111;-1543,168778;-4117,104795
52;129,8581187;-1483,162899;-3168,701539
53;472,286511;-1423,169384;-3324,317567
54;604,1714191;-1617,601354;-4220,784829
55;728,8409968;-1545,247401;-4143,485108
56;790,6105565;-1348,491017;-4046,367267
57;463,9504964;-1467,278241;-3699,783942
58;786,4177541;-1599,245119;-4173,822889
59;891,6710954;-1616,702264;-4361,266868
60;218,274424;-1781,584045;-3882,174797
61;197,4314381;-1538,591685;-4028,683823
62;730,5998821;-1709,434838;-4906,807876
63;856,0741226;-1363,930183;-4376,776016
64;905,4718298;-1141,943063;-3612,194455
65;602,9568636;-1569,335751;-3793,281776
66;576,8683117;-1801,202365;-4783,49929
67;461,0872783;-1589,609564;-4091,613863
68;712,1443601;-1574,516262;-4567,274091
69;339,5862149;-2091,276071;-4893,2799
70;257,4546811;-1649,894849;-4075,488228
71;464,7388477;-1568,250078;-3761,566437
72;1257,038374;-1210,604679;-3943,226944
73;607,296804;-1495,563947;-3641,792091
74;620,3783654;-1269,005942;-4228,372892
75;631,1330466;-1495,353817;-4102,931782
76;710,4892226;-1337,223552;-4617,650662
77;1113,809398;-1333,221953;-3783,556146
78;1357,945563;-947,0796543;-3470,237346
79;1129,875581;-918,118775;-3682,67713
80;1138,789439;-1215,785297;-4058,943907
81;653,0012084;-1514,405467;-4287,203159
82;943,7423884;-1280,068024;-3802,313459
83;661,1390486;-1599,396823;-4511,493559
84;1053,007857;-1382,108302;-4387,928277
85;341,0475453;-1691,715529;-4037,869342
86;663,2720954;-1874,814411;-4940,489163
87;474,6961033;-1728,82269;-4205,072404
88;400,415231;-1868,227613;-4838,030153
89;-20,26516022;-2035,646205;-4732,49218
90;220,1755354;-2168,406835;-5067,559963
91;-99,43068145;-2317,609213;-4876,32625
92;23,69505982;-2499,345356;-5313,5935
93;352,3243749;-1868,128366;-4802,590346
94;711,3516725;-1385,087074;-3604,731361
95;1096,19723;-1149,106959;-3585,422414
96;455,8865972;-1226,567553;-3670,889851
97;1064,334689;-1384,716841;-4826,177664
98;1540,352528;-990,156441;-3998,723937
99;2122,505988;-817,7986551;-3528,355812
100;1667,553169;-873,0285182;-3216,206484
101;1133,14883;-853,1324421;-2850,76242
102;404,9146209;-1677,762234;-3911,429703
103;609,5261498;-1796,478838;-4901,234281
104;258,1740105;-2237,611074;-5111,305085
105;560,9552573;-1946,545592;-5094,26582
106;660,6769251;-1631,395925;-4508,148727
107;956,2811766;-1385,40826;-3859,487097
108;1097,440609;-1351,65508;-4147,570313
109;1350,912926;-1256,388703;-3654,032503
110;954,9642052;-1428,554381;-4442,000142
111;1261,317067;-1646,873297;-4507,879688
112;1260,346623;-1253,117967;-4103,279059
113;1180,112847;-1057,222774;-3982,292926
114;1058,210566;-1128,627429;-3530,471193
115;930,7444888;-1555,4839;-4414,343474
116;1288,789963;-1426,675286;-4228,029625
117;1710,04837;-1288,255102;-3613,484756
118;1110,348499;-1972,524327;-4929,328562
119;810,9878178;-1720,719076;-4365,967975
120;673,0215137;-1517,172174;-4256,765518
121;967,6105874;-1593,42626;-4734,241232
122;1062,125523;-1309,249391;-3794,172199
123;996,0290872;-1776,748758;-4443,350759
124;396,7922613;-1817,816546;-4285,461685
125;773,3221563;-1576,332515;-3807,020355
126;489,9080387;-1453,549359;-4159,426331
127;182,7789161;-1524,871039;-3146,693265
128;261,762694;-1654,772381;-3692,816565
129;569,2832622;-1547,425732;-3843,724505
130;288,319208;-1788,440367;-4268,206712
131;170,0381919;-1827,396598;-4288,356681
132;323,340367;-1590,202439;-3957,769279
133;767,8662984;-1717,524245;-4187,382614
134;363,1223546;-2030,186162;-4936,795379
135;296,7529988;-1726,146732;-3932,002291
136;76,48940358;-1816,176442;-4294,51005
137;429,4630655;-1827,490247;-4410,837583
138;449,4965493;-1924,912088;-4643,121481
139;545,0680032;-2039,826226;-4418,048232
140;767,8108593;-1714,983871;-4498,009344
141;435,7957739;-1741,943044;-4692,234776
142;734,3181311;-1537,361645;-4466,441473
143;465,5339513;-1550,993968;-3995,178177
144;792,9133573;-1411,058965;-4313,71569
145;356,1695099;-1535,957753;-3608,46964
146;938,9748423;-1494,026322;-4089,102268
147;760,9106827;-1475,287937;-4014,651335
148;506,3645654;-2024,065116;-5318,268658
149;719,095516;-1724,509429;-4690,606395
150;943,6878892;-1661,358972;-4658,212859
151;999,5782756;-1424,933116;-4193,896969
152;1531,669538;-1606,452868;-4433,634476
153;892,6806756;-1459,589146;-3665,976987
154;1032,565754;-1859,805693;-5322,677199
155;766,3659242;-1773,789468;-4614,958209
156;848,7874184;-1500,138626;-4196,597381
157;707,2783967;-1653,175221;-4099,605607
158;581,8419304;-1835,236169;-4737,832951
159;285,2381538;-1515,095486;-3965,284688
160;706,0907945;-1415,02121;-3696,090197
161;993,7191114;-1257,302999;-3875,789865
162;930,2675151;-1215,509053;-3721,612434
163;928,4572793;-1239,423829;-3477,027388
164;1026,910684;-1304,702679;-4052,610384
165;896,0598504;-1233,379092;-4119,612616
166;456,7221491;-1532,812693;-4305,001182
167;1080,635831;-1703,721648;-3779,647182
168;624,2668287;-1635,820106;-4321,03203
169;342,8813393;-1647,088355;-4395,031239
170;827,6015433;-1428,4097;-4169,229088
171;403,4109063;-1281,678496;-3541,444059
172;867,6711273;-1364,420745;-4240,701407
173;814,3378038;-1479,896093;-4288,234149
174;199,6559872;-1778,165516;-4242,095541
175;274,3886659;-1869,523336;-4198,301452
176;-47,56823433;-1953,626315;-4516,944537
177;-330,3677194;-2096,877311;-4608,547645
178;54,55572288;-2053,652549;-4440,719875
179;579,2797213;-2014,603895;-4794,463986
180;259,0277074;-1747,180074;-4008,813138
181;441,5894529;-1656,296658;-4415,895535
182;392,5346178;-1687,530902;-4062,831222
183;407,4815491;-1784,347662;-4622,63864
184;538,2482647;-1882,285796;-4866,580571
185;504,3789088;-1583,223326;-4086,050434
186;748,0305615;-1562,209441;-4187,50266
187;1016,969867;-1556,198984;-3954,756007
188;624,8539081;-1933,260794;-4701,85586
189;83,57468703;-2316,955187;-5371,199934
190;385,3271369;-2278,85318;-4741,554184
191;760,4502441;-1788,877463;-4798,777489
192;961,5826565;-1610,506957;-3656,821112
193;349,2574043;-1986,533468;-4548,247829
194;201,1230595;-2384,93514;-4804,521488
195;113,3859123;-2325,496672;-4720,797494
196;128,0977311;-2432,902532;-4994,984099
197;66,3661135;-2108,545642;-4947,196413
198;206,5492545;-1956,959718;-4187,005403
199;391,6254192;-2010,405836;-4506,758072
200;202,4068379;-1972,333552;-4403,847905
201;956,6876159;-1667,336709;-4948,388117
202;1166,14425;-1310,193722;-4102,967364
203;714,2858751;-1454,707481;-4284,460732
204;741,8445276;-1682,792752;-4182,456317
205;272,4955148;-1856,99383;-4566,697305
206;572,6219728;-1640,979574;-3952,736778
207;128,5027471;-2360,283836;-5030,530546
208;222,8025606;-2163,587206;-5072,776634
209;272,0989729;-2385,516275;-4991,731659
210;-168,7508126;-2435,432042;-5124,929914
211;278,0134949;-2279,571743;-5214,860695
212;-238,087014;-2428,382539;-5350,835178
213;-186,1126875;-2501,882973;-5188,14444
214;-110,2790958;-2535,365396;-5645,041195
215;321,7233185;-2714,900915;-5796,249895
216;-88,13313084;-2525,257625;-5240,876099
217;96,00156666;-2323,78791;-5307,216875
218;851,3707515;-2113,4675;-5011,279893
219;577,057041;-1961,121364;-4666,338623
220;640,2026859;-1694,863125;-4423,492859
221;408,5953828;-1711,176469;-4571,915159
222;500,1955272;-1942,210702;-4571,264045
223;509,3991567;-1715,83738;-4547,229446
224;399,8236916;-1778,663928;-4633,487909
225;753,6853142;-1694,891053;-4793,229968
226;736,5361785;-1334,476144;-3967,424031
227;571,421185;-1423,963983;-3510,897112
228;1044,541283;-1156,673277;-3428,414319
229;803,7151087;-1429,703991;-4098,315565
230;923,6532882;-1446,259925;-4410,109738
231;732,8686247;-1273,716281;-3813,52746
232;859,6155079;-1341,826579;-4356,060448
233;768,717422;-1099,875335;-4189,656279
234;956,2736915;-1180,975809;-3903,551898
235;976,8627787;-1255,124453;-3532,347375
236;611,8100472;-1666,430671;-4954,214885
237;367,2687521;-1816,042513;-4027,315866
238;-102,9590256;-2103,670401;-4507,109487
239;421,4775801;-2175,224224;-5149,336245
240;-51,89232295;-2420,813103;-5651,344954
241;-267,8851656;-2653,129391;-5585,12496
242;-229,6640048;-2473,794137;-5272,64368
243;-92,86086611;-2455,174118;-5767,62649
244;27,80141137;-2255,48259;-4604,655165
245;-359,9908343;-2442,683957;-4900,283346
246;-139,6838883;-2052,171128;-4316,079076
247;601,4708574;-2010,211772;-4546,468111
248;534,198177;-1842,748058;-4160,14235
249;590,5243013;-1748,797554;-4264,943
250;658,460401;-1846,879008;-4668,648436
251;528,4193545;-1955,913362;-5399,542058
252;669,0016994;-1714,486037;-4605,489801
253;963,7388117;-1397,534345;-3846,583565
