Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 908,20767247676;;;
PopulationNumber;Best;Average;Worst
1;-1966,766756;-8581,748469;-14551,37241
2;538,837742;-5811,25559;-12073,90092
3;773,2328854;-4314,370361;-10362,17583
4;1310,389583;-3410,073485;-9788,133728
5;2431,000602;-2597,863082;-9232,520955
6;3162,925104;-1865,728421;-7805,227706
7;3245,20379;-1415,847658;-7902,497261
8;3810,114157;-788,2472035;-6977,860063
9;3623,526232;-538,1701141;-6767,441824
10;4527,97808;-148,2147278;-6617,842963
11;5015,468993;94,58574753;-6693,531755
12;4865,883232;259,4695859;-5955,167258
13;5271,321064;193,5760576;-6573,8531
14;5076,67831;464,5429111;-6181,381144
15;5328,674312;646,2718911;-5513,634493
16;4963,704852;677,1536485;-5350,941443
17;5369,395323;859,582885;-4790,548276
18;5381,981261;886,8784685;-5607,325352
19;5577,854438;889,7324465;-4671,616254
20;5490,299692;879,8003791;-5241,967217
21;5519,638751;993,9970893;-5033,193604
22;6033,116109;955,0363505;-4987,061982
23;6210,069461;1158,987513;-5292,046606
24;6341,810865;1230,441204;-4863,554257
25;6362,092095;1337,551397;-4898,114303
26;6533,876857;1618,364313;-5198,912372
27;6682,000132;1970,166106;-4131,87984
28;6996,346719;2456,898395;-3744,924122
29;7072,084752;2555,374548;-4247,706732
30;7333,360553;2746,719239;-3515,695982
31;7315,256167;2869,713476;-3758,548916
32;7179,924399;3025,288498;-3741,377078
33;7527,303647;3005,817176;-2812,589919
34;7379,431005;2864,730566;-3706,616803
35;7199,35812;2947,996016;-3231,556458
36;7758,900789;3076,821921;-2953,077797
37;7263,030376;3129,267171;-2832,878457
38;7170,861786;3284,452463;-1958,998883
39;7725,060046;3276,772004;-3341,177205
40;7951,392469;3612,037616;-1998,757675
41;7457,980978;3437,317492;-2122,237273
42;7496,249174;3462,612005;-3036,435484
43;7699,391761;3492,939848;-2347,441683
44;7818,206109;3555,745144;-2642,294212
45;8014,757985;3662,514525;-2824,459467
46;7877,425952;3651,891612;-2610,694437
47;8149,624169;3747,477131;-1695,732486
48;8146,693421;3946,539887;-2063,683925
49;8231,407724;3966,714127;-1430,737953
50;7978,170523;4128,697048;-1697,180542
51;7923,924489;3775,8026;-2858,621146
52;8314,117789;3843,215593;-2553,511075
53;8337,668062;3793,123162;-2593,533202
54;8525,71184;4003,634779;-2979,612493
55;8446,777772;4058,937347;-2843,602307
56;8358,154039;4094,001961;-1909,724225
57;8260,374496;4035,312776;-1692,539173
58;8303,395478;4171,832766;-1204,691673
59;8090,598126;4120,639114;-1363,798615
60;8091,991479;3828,829221;-2129,446984
61;8211,804814;4025,106767;-1624,872604
62;8174,345698;3983,44539;-2665,396286
63;8168,532756;4011,551705;-1941,614106
64;7882,118922;3975,071211;-1536,222519
65;8145,395372;4232,380355;-2093,615092
66;8256,343452;4232,544246;-785,8844982
67;8332,061232;4192,566901;-1900,293357
68;7977,153421;4295,218728;-613,9684504
69;8362,267267;4242,355401;-1874,907278
70;8359,690774;4273,542438;-1427,076791
71;8513,774265;4371,626968;-1485,714185
72;8208,881096;4571,800077;-1306,240887
73;8472,059615;4352,604322;-1623,592342
74;8176,697473;4097,011187;-2688,340695
75;8396,890783;4160,657684;-2386,361477
76;8543,805512;4420,740865;-1935,565997
77;8850,545023;4665,114554;-1038,322203
78;9217,792788;4906,989139;-1007,755929
79;8930,05951;5147,004304;-823,0384697
80;9090,022302;5113,716045;-1557,364721
81;9200,464379;5038,170068;-1398,737228
82;9111,005037;5093,398793;-1346,480702
83;9143,655269;5065,240041;-1598,007281
84;8997,623719;5193,787786;-1178,791242
85;9427,283669;5133,928806;-394,6557407
86;9028,676604;5194,544372;-1187,743008
87;9412,004434;5205,217324;-942,7813982
88;9303,546311;5422,868254;-727,7054877
89;9392,675518;5372,692175;-710,3785577
90;9387,710159;5361,464317;-676,5900912
91;9104,670963;5313,10831;-439,6904805
92;9053,294315;5219,002654;26,09044536
93;9138,390424;5252,80813;-851,3688491
94;9035,50626;5248,955218;-242,172992
95;9039,311382;5208,968056;-247,5115583
96;9003,178231;5118,942299;-114,1401881
97;8973,429417;5140,877008;-320,5986049
98;9182,671867;5043,38188;-1152,125824
99;8778,451423;5067,255552;-806,4300249
100;9066,798698;5070,227038;-1212,733288
