Population size: 1000;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 2;;;
;;;
;;;
Deviation : 32,9344341246671;;;
PopulationNumber;Best;Average;Worst
1;0,585425553;-8461,986844;-16197,58423
2;1200,845664;-6553,41959;-14086,63434
3;1641,736063;-5846,660378;-13863,58451
4;1977,808277;-5356,645268;-13325,71369
5;2007,849946;-5039,308906;-13148,54693
6;2785,03087;-4811,713601;-12561,62857
7;2757,891746;-4572,629559;-12598,28231
8;3155,874751;-4398,705336;-13092,10182
9;2863,791236;-4360,170169;-12501,37074
10;2929,942591;-4278,351935;-12206,82737
11;3061,484175;-4160,353121;-12164,61751
12;3619,664723;-4104,847056;-12552,99679
13;3120,666155;-4035,89513;-12035,93812
14;3178,992944;-4006,19754;-12545,1636
15;3409,149059;-3921,891116;-11949,2976
16;3952,024357;-3900,223404;-12707,35951
17;3662,035861;-3773,989367;-12498,85132
18;3715,933731;-3702,37429;-12578,59612
19;4071,919195;-3654,76822;-12343,00937
20;3592,779114;-3613,483191;-12161,38575
21;3740,480106;-3555,542408;-12172,46675
22;3828,789087;-3487,652407;-12335,67826
23;3612,542366;-3424,171742;-11830,97
24;3835,974475;-3439,403428;-12376,67828
25;4301,598848;-3349,932971;-12628,96832
26;4658,331184;-3295,715811;-11778,46221
27;3973,756764;-3200,977788;-11621,52497
28;4573,769484;-3225,784321;-11692,69504
29;4911,336017;-3153,393518;-11751,168
30;4766,230803;-3144,145012;-11677,60737
31;4595,582534;-3099,472263;-11415,62549
32;4519,270328;-3058,855499;-11795,71045
33;4477,753117;-3066,724866;-11502,22858
34;4549,004432;-3095,430439;-11435,24903
35;4826,789962;-3050,972462;-11924,69465
36;4688,984852;-3050,28157;-11830,38341
37;4896,524056;-3056,040739;-11694,962
38;4228,385881;-3034,434088;-11176,75018
39;5019,166246;-2933,82601;-11841,0908
40;4763,260028;-2941,113883;-11688,69094
41;4565,474441;-2980,203727;-11705,97951
42;4590,750917;-2937,827589;-11676,37002
43;4665,307572;-2923,658275;-11966,39629
44;4612,480544;-2926,345811;-12019,15059
45;4644,084405;-2913,562165;-11044,75874
46;4373,361968;-2931,820372;-11543,52286
47;5021,094536;-2937,525861;-11295,13474
48;4502,989696;-2948,964427;-11863,63972
49;4922,057879;-2863,485631;-11333,83442
50;4433,558998;-2927,409149;-11637,9645
51;5020,530444;-2842,206823;-11120,95829
52;4991,263975;-2859,597112;-10940,00426
53;4691,638708;-2887,122939;-11581,18099
54;4838,073671;-2898,337122;-12087,09123
55;4918,20547;-2848,276283;-11548,74751
56;4314,430059;-2816,889646;-11783,94519
57;4972,23483;-2752,982968;-11347,14284
58;5484,446725;-2743,462758;-12076,89197
59;4838,926161;-2674,160475;-10952,8117
60;4974,373437;-2715,245204;-11686,92511
61;4681,861434;-2707,673939;-11755,76933
62;4972,739699;-2671,48381;-11733,05444
63;4550,891194;-2666,651657;-11811,18953
64;5121,105195;-2651,209546;-11364,639
65;5380,611577;-2668,917681;-11054,46086
66;4972,849214;-2667,178244;-11390,95773
67;4949,416127;-2652,154111;-11786,45217
68;5067,12329;-2657,772241;-11320,72235
69;5050,7812;-2662,329901;-11585,23344
70;4703,653468;-2646,684285;-11626,94272
71;4980,480172;-2661,791478;-11456,897
72;4463,056403;-2635,076261;-11710,86904
73;4667,174344;-2618,806558;-11641,30369
74;4888,811199;-2604,401757;-11262,22967
75;4760,143233;-2593,468735;-11641,50237
76;4941,787763;-2594,944382;-11166,75183
77;4989,194892;-2586,056539;-11618,79356
78;4829,463258;-2574,827058;-11377,32813
79;4817,905558;-2503,380595;-11102,8208
80;4876,749588;-2480,92377;-11178,82058
81;5001,528193;-2512,561744;-10962,3367
82;5062,249431;-2523,872661;-11721,59982
83;5349,842724;-2458,000685;-11328,83005
84;4709,061245;-2417,400571;-11350,80245
85;5126,970584;-2438,090837;-11154,49605
86;5139,063952;-2398,452005;-11456,51872
87;4924,573163;-2429,783859;-11612,71256
88;5267,522136;-2408,705975;-11513,58316
89;5334,351294;-2385,951179;-11578,93851
90;4895,68187;-2449,720798;-10992,81902
91;4965,431918;-2434,607974;-11466,22299
92;5123,793302;-2411,5925;-11460,72543
93;5283,01666;-2473,441074;-11533,79689
94;5379,752564;-2348,322549;-10972,71995
95;5149,81526;-2390,54704;-11586,00358
96;5056,900338;-2367,534862;-11393,63195
97;5241,599469;-2315,908436;-11161,82308
98;5271,205414;-2293,43963;-10818,90391
99;4615,191596;-2268,313988;-10899,73151
100;5225,401733;-2320,400432;-11592,7575
