Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,5;;;
Mutation probability: 0,5;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 422,67423721195;;;
PopulationNumber;Best;Average;Worst
1;-2533,483909;-8450,045011;-14689,18526
2;-25,00098953;-5614,578876;-11306,96279
3;1090,657062;-4179,424441;-10541,6321
4;1994,927903;-3182,036485;-9564,096223
5;2678,72111;-2465,970483;-9038,773132
6;3104,212568;-1767,28768;-8198,420032
7;3448,416851;-1266,376516;-7617,665871
8;3992,862904;-983,2821587;-7105,562668
9;3959,413454;-722,6906925;-7217,549158
10;4677,921449;-442,0123154;-7373,391928
11;4596,319524;-158,3711472;-6765,664652
12;5322,692312;198,6358295;-6251,898574
13;5168,085732;406,7849059;-6631,077933
14;5377,279091;640,0859282;-5539,521362
15;5402,013291;745,8722288;-6079,611032
16;5682,656064;968,4933793;-5527,65578
17;5870,47111;1172,633224;-5069,197186
18;5595,246842;1364,488406;-5334,822795
19;6238,302433;1643,673297;-4675,379165
20;6667,370007;1858,82559;-4243,108595
21;6472,189299;2193,754807;-3428,918939
22;6736,13279;2312,556443;-3314,6731
23;6833,332123;2520,914086;-3376,310074
24;6911,817601;2633,121409;-3075,789855
25;6678,539802;2663,692917;-3173,671258
26;6776,398108;2824,603862;-3069,722225
27;6837,132781;2968,996351;-2580,021074
28;6943,201469;3201,230567;-2661,181343
29;7127,94307;3286,805393;-3135,985527
30;7163,204598;3205,034675;-2168,456377
31;7207,952069;3289,199627;-1954,762872
32;7358,11703;3187,897244;-3247,727368
33;7350,24603;3290,983456;-3510,662509
34;7639,283862;3501,171595;-1232,04247
35;7777,429725;3424,666466;-2321,542958
36;7482,385603;3444,24935;-2165,396876
37;7622,415592;3728,342499;-1373,878667
38;8038,511594;3741,2627;-2056,576165
39;7845,352322;3710,395172;-2345,931018
40;7940,119483;3815,583082;-1867,095953
41;7957,969089;3880,349466;-1660,456912
42;7887,647928;3798,762955;-1936,330292
43;8015,858093;3765,295213;-2817,361274
44;7752,691938;3537,808952;-2480,85574
45;7743,757124;3618,280997;-1835,393705
46;7815,575413;3464,007952;-2251,904973
47;8050,951002;3367,311674;-3046,537271
48;7741,684477;3413,459664;-3017,494179
49;7865,957637;3475,791502;-3209,672608
50;7409,725687;3405,329656;-3508,551562
51;7722,033082;3209,721512;-3795,004265
52;7668,718572;3298,206586;-2510,336088
53;7685,574497;3472,446666;-2494,012006
54;7887,670259;3510,926767;-2994,335655
55;7834,791902;3575,1097;-1966,23752
56;7864,585678;3538,826701;-2410,410372
57;7932,886163;3536,674266;-2467,546192
58;8040,323067;3716,163497;-2559,555713
59;8200,242877;3874,786184;-1987,416697
60;8355,185759;3914,615503;-2320,705121
61;8137,737642;4086,08859;-1485,552445
62;8174,534197;4166,413307;-1456,790805
63;8118,906393;4295,766763;-1936,240603
64;8327,90844;4289,689635;-1915,068328
65;8461,455054;4340,138589;-1066,836733
66;8208,014439;4050,722018;-2269,664127
67;8394,528786;3909,273868;-1986,126129
68;8352,021973;3864,008215;-2467,970505
69;8807,048993;4027,243623;-2173,987454
70;8600,024906;4023,432836;-1973,785676
71;8436,785075;4027,455472;-1542,046644
72;8385,272098;4121,248492;-1543,12871
73;8153,029126;4100,820302;-2609,860357
74;8499,673059;4044,021489;-2021,50349
75;8383,278254;4176,408357;-1575,100328
76;8226,543409;4090,687356;-1838,563505
77;8267,294801;4215,735768;-1605,69083
78;8432,856914;4259,646293;-935,9735319
79;8702,101644;4057,818307;-2690,017204
80;8299,95253;4184,665363;-2247,061243
81;8233,264491;4166,585274;-1675,132366
82;8214,998883;4250,081619;-2599,967973
83;8271,196938;4263,844673;-1621,601967
84;8011,976465;4211,896849;-902,6452342
85;8302,483668;3963,448883;-2115,413313
86;8037,28862;3982,821855;-1745,708711
87;8205,667035;4046,091163;-1693,93273
88;7966,238757;3981,57083;-1603,171057
89;7983,310856;3842,702942;-2329,467945
90;8140,372118;3954,844088;-2264,333476
91;8072,028107;4066,696505;-1390,88525
92;8234,431219;4155,61034;-1518,353131
93;8374,954208;4288,635217;-1088,125433
94;8767,498826;4397,140202;-1616,021877
95;8647,776037;4503,9474;-1667,373839
96;8747,814733;4681,399521;-1383,565254
97;8618,361511;4925,458255;-630,8807556
98;8524,413834;4930,695293;-758,0040963
99;8810,228523;4930,011825;-910,4350046
100;8897,200806;5081,963589;-270,3376821
