Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 50;;;
;;;
;;;
Deviation : 659,336205659172;;;
PopulationNumber;Best;Average;Worst
1;-2483,560257;-8490,978161;-14050,16083
2;695,0490677;-3709,220745;-10060,45245
3;2623,328618;-1067,998853;-6426,171541
4;3763,375616;717,124922;-4151,054933
5;5003,360279;1972,032315;-2530,706688
6;6325,090843;3167,378132;-1659,383819
7;7223,313009;4286,903193;-302,7391524
8;7883,474321;5126,655111;-306,5080148
9;8546,813473;6157,219089;1198,966337
10;8965,379246;6599,021912;2223,359461
11;9408,775601;7036,191146;2050,83099
12;9896,171315;7501,002285;2274,260708
13;10554,50833;8084,844087;3939,645759
14;10923,27634;8612,509098;4570,67244
15;11132,70221;9111,423812;5209,895947
16;11487,40874;9278,832528;5060,268718
17;11763,06649;9254,920732;4078,794914
18;11948,18782;9865,053705;5628,886286
19;12173,754;10104,84034;5860,894483
20;12416,03296;10170,28622;5380,489979
21;12718,19509;10348,71935;5989,322488
22;12850,11803;10421,53071;6137,073688
23;12995,00579;10676,34218;6454,378946
24;13145,13887;11074,81161;6694,58087
25;13229,15949;11149,06048;6254,288059
26;13429,54022;11342,51678;7330,16169
27;13614,92109;11437,52508;7211,533712
28;13809,54972;11613,88375;7040,500852
29;13902,84201;11730,57342;7708,128518
30;13918,36134;11729,38762;6929,499541
31;13962,10101;11908,25404;7700,923434
32;14090,51261;12111,5581;8138,408765
33;14175,98836;12021,56458;7728,894047
34;14251,21886;12056,98122;7684,535793
35;14536,521;12256,69161;7739,671705
36;14626,23246;12387,61917;7918,267769
37;14755,9377;12687,54749;8037,331684
38;14866,30301;12563,54156;8583,117661
39;14906,79752;12876,92645;8771,846532
40;14986,01884;12897,02718;8562,525136
41;15026,9272;12890,57256;8205,988317
42;15021,72635;12788,55067;8318,906594
43;15188,67146;12818,35786;7517,089854
44;15165,42784;12916,5235;8339,352046
45;15251,34457;13056,45664;8934,820274
46;15266,52501;13108,90335;8918,011862
47;15313,77321;13195,64505;8679,441521
48;15321,42698;13149,06101;8655,004116
49;15435,32555;13159,45602;8953,319838
50;15420,24479;13270,92224;8803,935433
51;15462,83475;13340,68108;9087,940326
52;15493,79435;13372,76185;8860,785464
53;15619,52635;13418,96292;9137,300334
54;15688,03391;13488,14554;8714,91708
55;15704,47242;13529,79432;9367,917111
56;15680,38777;13577,71661;8897,111437
57;15797,76423;13450,68079;8714,60006
58;15802,0394;13380,76835;8574,778868
59;15810,81149;13397,41436;8681,323727
60;15813,32331;13379,36603;9150,577697
61;15848,73295;13346,51546;8986,191705
62;15887,90747;13693,65458;9148,030575
63;15941,26672;13787,87028;9990,602138
64;16030,45827;14047,20787;10219,55657
65;16015,1399;14078,53538;9870,908831
66;16114,9328;14094,39983;9703,464024
67;16156,20594;13859,65293;9231,009233
68;16241,52508;14042,47491;9689,018036
69;16350,63956;13982,51922;9505,338561
70;16364,36695;13947,35536;9827,442328
71;16334,83812;14064,29146;9517,535302
72;16359,33438;14161,75625;9462,434465
73;16379,83035;14154,58739;9812,55301
74;16401,11959;14265,85197;9965,594064
75;16396,74796;14280,14279;9797,564881
76;16355,79079;14263,95081;10138,77209
77;16396,92251;14162,5592;10252,00322
78;16383,11542;14220,16562;9985,92313
79;16357,79263;14139,84287;9524,720876
80;16386,78495;14073,18671;9925,679177
81;16387,62013;14004,78389;9528,826595
82;16377,20711;14238,92988;9029,808761
83;16455,66121;14141,23289;9097,37363
84;16349,17627;14103,87965;9764,76992
85;16490,54024;14157,87688;9628,217065
86;16467,37804;14352,58713;9230,64588
87;16494,94496;14267,25101;9949,326246
88;16492,48056;14141,20107;9628,130059
89;16495,58647;14498,70925;10150,61589
90;16439,00131;14284,81193;9930,354696
91;16506,45611;14284,18485;9780,036748
92;16600,46765;14503,82453;10672,99368
93;16628,5186;14422,65796;10053,14748
94;16688,25613;14621,01818;10540,11227
95;16731,49429;14781,53535;10675,21626
96;16777,41314;14526,9298;9596,206469
97;16732,97921;14611,81873;10166,93274
98;16766,90926;14504,68496;9684,959201
99;16741,39094;14560,82382;9901,648859
100;16758,15605;14570,3379;9755,039611
