sep=;
Population size: 100
Generation amount: 100
Crossing probability: 0,7
Mutation probability: 0,1
Tournament parameter: 5


Deviation : 11991,8670511362
PopulationNumber;Best;Average;Worst
1;-165508,116052707;-228128,133856813;-290741,837904568
2;-154208,563404174;-214356,335155676;-280591,59720931
3;-147769,760056115;-206171,710078971;-266539,87638869
4;-145817,688367579;-201942,429883698;-264044,700586104
5;-135281,000180595;-198044,55021264;-264548,95027289
6;-133123,206156078;-193091,703620648;-256347,857737001
7;-132657,268949686;-190732,446722161;-258725,19175247
8;-127061,923895001;-188574,321710252;-257593,271803083
9;-129167,81172148;-185668,462589547;-250621,756888183
10;-126583,68484658;-186339,568180093;-248811,991576445
11;-128982,233053422;-183182,868127723;-249371,722234541
12;-126446,95316699;-181363,75241425;-244846,213475136
13;-125245,14604384;-183194,225169709;-245481,080939482
14;-127778,724161876;-180222,240671659;-244175,187776667
15;-123723,297525912;-177963,943126759;-244443,846809412
16;-120625,098398473;-175036,23292872;-239865,517966614
17;-122793,694066515;-176282,807577674;-250910,456038809
18;-120262,739273028;-176585,918271981;-243848,416529531
19;-121793,56072309;-176736,785761827;-243944,172039464
20;-124384,413685118;-176585,811845466;-243032,600597661
21;-122091,164682195;-176977,887680669;-246246,428296403
22;-124493,772000253;-174128,94928145;-238376,859837705
23;-122051,810055723;-174834,951432594;-240864,50478337
24;-119700,808311882;-172879,11067569;-245900,240949225
25;-118928,763360302;-169636,296865008;-245014,269095729
26;-118445,510580151;-167874,461066616;-234618,158946735
27;-118406,969497608;-167041,750267988;-242892,99151712
28;-119690,895239689;-165719,791152188;-243260,105929135
29;-115583,554569484;-163538,462837425;-231273,912435106
30;-112633,618802363;-161660,005982792;-230015,444354305
31;-112739,201339371;-162247,883898694;-236108,778594159
32;-112864,167664563;-160883,421990266;-234122,042723005
33;-111501,2574149;-160853,806541186;-238294,581043158
34;-112170,47396462;-160434,563270494;-234869,253634341
35;-110669,837344723;-157948,324135401;-232535,342466961
36;-112020,353017956;-159088,748665322;-230024,435502625
37;-110326,275222082;-157744,045574514;-229138,501872654
38;-112250,359217149;-160578,343068297;-229248,197589267
39;-111332,871382059;-160278,708122112;-237386,830552521
40;-109053,709893099;-158204,56887982;-239669,90272945
41;-108914,428375461;-157259,418822738;-233141,81378266
42;-107356,84794965;-155906,064300554;-225628,505112445
43;-107232,977391132;-153149,554531996;-229708,795068444
44;-110897,912691809;-154512,631642436;-226189,55052234
45;-110136,211976921;-155135,716053483;-229925,766475867
46;-108669,458205758;-154125,515405339;-219396,129501697
47;-104727,61616312;-154526,51199534;-225185,752958962
48;-105109,14887414;-153082,201908264;-227321,25799178
49;-107939,991587317;-152376,433934934;-222315,309830835
50;-108154,815511876;-152184,432069698;-226719,278319571
51;-106646,65926471;-151832,55363815;-223975,122278699
52;-106978,599921744;-151995,169088358;-227216,983303834
53;-105542,287365388;-150516,97065079;-225835,417504777
54;-107816,446013584;-151428,309894535;-225883,842751488
55;-106436,485210006;-151594,974933904;-219086,597977892
56;-103594,874167565;-152489,905815541;-226221,974745487
57;-107061,010406968;-148795,465005956;-218997,919104567
58;-103052,656906343;-150115,371913941;-226278,56960611
59;-104691,101382512;-146218,063301906;-220993,753321131
60;-104961,605943976;-144846,930774851;-221209,329474347
61;-100954,850373908;-145080,819629072;-214125,182881204
62;-102116,98963593;-144596,352532767;-223760,675680887
63;-100489,216200903;-146070,470347574;-218794,697142544
64;-101782,551631669;-146029,94986048;-215189,475590396
65;-104514,854483566;-147157,740263651;-223748,114687793
66;-105470,767202689;-145930,290733538;-220594,307860394
67;-103029,278608628;-148062,729149254;-221582,813147313
68;-100386,535232781;-146624,703632459;-224377,834085391
69;-104837,494533678;-147677,997092573;-221267,297507919
70;-105180,108131757;-145551,089760972;-214149,066352454
71;-102736,711422761;-144978,118287346;-224260,080285792
72;-102778,782062044;-145649,084107976;-222657,667938148
73;-102850,005817163;-146056,753554561;-220700,968533436
74;-103028,468395365;-146525,443268716;-216789,323151346
75;-102511,528935899;-147668,536478282;-225585,796113962
76;-103183,273125235;-147711,000297148;-221364,868133628
77;-103202,445953975;-147714,596340457;-224389,223395779
78;-104141,28659702;-145440,165756334;-220993,984573859
79;-101182,395990601;-144673,079534771;-216269,866973096
80;-99663,6565023415;-144945,421610641;-218739,7315654
81;-100530,185989771;-144754,460621323;-216324,553389861
82;-99900,2797717753;-144318,839720953;-216230,183261354
83;-98883,2619113413;-142356,672831265;-210564,46194805
84;-97996,4787684965;-143484,384669123;-221089,666472686
85;-100608,121827604;-143121,06219935;-222713,795380686
86;-100789,135110797;-144154,062045586;-227056,959030685
87;-99679,8796105902;-142533,57504628;-215134,170037388
88;-102064,793759939;-146971,164963721;-220085,220093629
89;-100587,84798357;-143021,748825772;-221048,336777731
90;-100847,254779572;-145741,294987337;-218502,129597402
91;-99822,1260271766;-143246,856419214;-227401,438848022
92;-99532,1892705664;-144874,704494384;-223633,892568851
93;-99064,2167412656;-141818,492853033;-219671,314576183
94;-98786,3179110078;-141873,205370941;-220372,448209022
95;-98579,7432676407;-142040,309087576;-222941,930394
96;-98484,7474698834;-141252,294113477;-212744,168981101
97;-98655,5966169163;-140731,904076764;-210283,697210173
98;-98486,4387864951;-140762,180831917;-219781,429127093
99;-93937,2804850619;-138860,142270362;-216510,369415359
100;-96496,2622527452;-137429,407928842;-215177,400154876
